procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  1      0 59912184    288 999532    0    0 10158  3354 13080   22 11  2 87  0  0  0
 0  0      0 59906300    288 1000732    0    0   328     0 4473 3510  0  0 100  0  0  0
 3  0      0 59751196    288 1047464    0    0 30840     0 6047 9876  3  1 96  0  0  0
 3  0      0 59651552    288 1077032    0    0 27508     0 5402 14261  5  1 94  0  0  0
 2  0      0 59653528    288 1077844    0    0   772     0  836  834  0  0 100  0  0  0
57  0      0 59430400    288 1079852    0    0  1492     0 15440 134576 13  5 83  0  0  0
73  0      0 59473352    288 1079856    0    0     0     0 14742 159814 13  6 82  0  0  0
43  0      0 59469240    288 1079824    0    0     0     0 13550 162945 11  5 84  0  0  0
56  0      0 59488796    292 1082276    0    0  1872   136 15506 161437 11  6 83  0  0  0
55  0      0 59476852    292 1082280    0    0     0     0 13996 159974 11  5 84  0  0  0
23  0      0 59467524    292 1085624    0    0  3728     0 15765 157862 11  6 83  0  0  0
21  0      0 59459848    292 1086188    0    0     0     0 14055 165716 11  5 84  0  0  0
 5  0      0 59459156    292 1086188    0    0     0     0 13952 164357 11  5 84  0  0  0
 1  0      0 59452536    292 1086188    0    0     0     0 13394 160366 11  5 84  0  0  0
60  0      0 59450312    292 1086188    0    0     0     0 13991 158967 11  6 84  0  0  0
46  0      0 59446708    292 1086188    0    0     0     0 13936 160752 10  6 84  0  0  0
 4  0      0 59250148   1616 1153328    0    0 45861   312 25782 163300 14  7 78  1  0  0
36  0      0 59339976   1616 1157484    0    0  1256     0 22369 161193 15  6 79  0  0  0
18  0      0 59315148   1616 1172036    0    0 10620  5364 28759 187312 17  6 76  1  0  0
 2  0      0 59315728   1616 1172308    0    0     0   632 17585 171233 12  6 82  0  0  0
66  0      0 59310600   1616 1172308    0    0     0     0 13656 159123 11  5 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
49  0      0 59304228   1616 1172308    0    0     0     0 13544 158461 11  5 84  0  0  0
 6  0      0 59301264   1616 1172308    0    0     0     0 13451 158800 11  6 84  0  0  0
70  0      0 59299020   1616 1172308    0    0     0     0 13580 159263 11  6 84  0  0  0
42  0      0 59300484   1616 1172308    0    0     0     0 14181 160112 11  5 84  0  0  0
69  0      0 59298196   1616 1172308    0    0     0     0 13448 159372 11  5 84  0  0  0
38  0      0 59298352   1616 1172308    0    0     0     0 13483 160183 11  5 84  0  0  0
66  0      0 59301716   1616 1172308    0    0     0  2304 13419 158592 11  5 84  0  0  0
74  0      0 59298956   1616 1173204    0    0   560  3384 14554 163491 11  5 84  0  0  0
37  0      0 59291888   1624 1180116    0    0  2896  8716 15197 163528 11  6 84  0  0  0
42  0      0 59289952   1624 1180116    0    0     0     0 13630 160041 11  5 84  0  0  0
 1  0      0 59289068   1624 1180116    0    0     0     0 13775 159417 11  5 84  0  0  0
64  0      0 59286008   1624 1180116    0    0     0     0 13306 158684 11  5 84  0  0  0
79  0      0 59281988   1624 1180116    0    0     0     4 13582 157996 11  5 84  0  0  0
64  0      0 59282148   1624 1180116    0    0     0   136 13540 158797 11  5 84  0  0  0
43  0      0 59279780   1624 1180116    0    0     0     0 13515 157152 11  5 84  0  0  0
44  0      0 59275616   1624 1180116    0    0     0     0 13353 158112 11  5 84  0  0  0
21  0      0 59279300   1624 1180116    0    0     0     0 13252 159615 11  5 84  0  0  0
40  0      0 59274380   1624 1180116    0    0     0   408 13177 158463 11  6 84  0  0  0
83  0      0 59270892   1624 1180140    0    0    16     4 13476 159621 11  5 84  0  0  0
54  0      0 59270884   1624 1180140    0    0     0     0 14089 160999 11  5 84  0  0  0
 1  0      0 59264972   1624 1180140    0    0     0     0 13406 158021 11  5 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
65  0      0 59256700   1624 1180144    0    0     0     0 13853 159591 11  5 84  0  0  0
70  0      0 59247420   1624 1180144    0    0     0     0 13928 159392 11  5 84  0  0  0
69  0      0 59243456   1624 1180144    0    0     0     0 13270 159272 11  5 84  0  0  0
45  0      0 59237000   1624 1180144    0    0     0     0 13449 158735 11  5 84  0  0  0
 1  0      0 59228820   1624 1180144    0    0     0     0 13454 158238 11  5 84  0  0  0
 1  0      0 59226244   1624 1180160    0    0    16    72 13084 157179 11  5 84  0  0  0
57  0      0 59218584   1624 1180160    0    0     0     0 14422 159838 11  5 84  0  0  0
27  0      0 59216048   1624 1180160    0    0     0     0 13242 156753 11  5 84  0  0  0
 1  0      0 59211460   1624 1180160    0    0     0     0 13137 157409 11  6 84  0  0  0
41  0      0 59208184   1624 1180160    0    0     0     0 13808 158908 11  5 84  0  0  0
40  0      0 59203380   1624 1180160    0    0     0     0 13526 158501 11  5 84  0  0  0
74  0      0 59205208   1624 1180160    0    0     0     0 13274 158451 11  5 84  0  0  0
15  0      0 59196760   1624 1180160    0    0     0     0 13756 164322 10  6 84  0  0  0
66  0      0 59192548   1624 1180160    0    0     0     0 13250 159458 11  5 84  0  0  0
58  0      0 59186656   1624 1180160    0    0     0     0 13329 160142 11  5 84  0  0  0
