procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  1      0 59562440    288 998428    0    0 10222  3369 13097   22 11  2 87  0  0  0
 0  0      0 59554756    288 999132    0    0   296     0 4804 3556  0  0 99  0  0  0
 4  1      0 59404192    288 1046928    0    0 32024     0 5393 9750  2  1 96  0  0  0
 0  0      0 59330116    288 1077464    0    0 27864     0 5415 14301  5  1 94  0  0  0
 1  0      0 59324364    288 1078216    0    0   676     0  877  826  0  0 100  0  0  0
44  0      0 59167752    288 1080000    0    0  1432     0 15266 138069 13  5 82  0  0  0
82  0      0 59162376    288 1080000    0    0     0     0 13845 158537 12  6 82  0  0  0
11  0      0 59159972    288 1080000    0    0     0     0 12707 154344 11  5 84  0  0  0
67  0      0 59193040    292 1082984    0    0  1924   136 14691 165310 11  6 83  0  0  0
28  0      0 59175576    292 1083184    0    0     0     0 13459 158206 11  6 83  0  0  0
49  0      0 59168620    292 1087104    0    0  3740     0 15860 161907 12  5 83  0  0  0
45  0      0 59159512    292 1087108    0    0     0     0 13677 156343 11  6 83  0  0  0
42  0      0 59152324    292 1087108    0    0     0     0 13109 156484 11  6 84  0  0  0
16  0      0 59143340    292 1087108    0    0     0     0 13111 156733 11  5 84  0  0  0
54  0      0 59144692    292 1087108    0    0     0     0 13264 156683 11  5 84  0  0  0
47  0      0 59140364    292 1087108    0    0     0     0 13866 158950 11  6 84  0  0  0
64  0      0 58947600   1616 1153080    0    0 45940   312 26013 160062 15  7 77  1  0  0
 2  0      0 59045708   1616 1158452    0    0  1240     0 22007 163568 15  5 79  0  0  0
49  0      0 59009792   1616 1172468    0    0 10668  5056 28203 186696 16  6 77  1  0  0
13  0      0 58994348   1616 1173424    0    0     0   948 19315 177638 12  5 82  0  0  0
 1  0      0 58986180   1616 1173632    0    0     4   408 13203 158789 11  6 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
51  0      0 58984364   1616 1173632    0    0     0     0 13173 158721 11  5 84  0  0  0
83  0      0 58979884   1616 1173632    0    0     0     0 13642 159024 11  6 84  0  0  0
62  0      0 58968148   1616 1173632    0    0     0     0 13472 157933 11  5 84  0  0  0
67  0      0 58965912   1616 1173632    0    0     0     0 13169 157469 11  5 84  0  0  0
35  0      0 58961192   1616 1173632    0    0     0     0 13452 159287 11  5 84  0  0  0
42  0      0 58960544   1616 1173632    0    0     0     0 13217 157217 11  5 84  0  0  0
35  0      0 58953288   1616 1173632    0    0     0     0 13294 158462 11  5 84  0  0  0
79  0      0 58951528   1624 1180560    0    0  3056 13688 15527 166069 11  6 83  0  0  0
38  0      0 58947500   1624 1180784    0    0    16    28 13468 158724 11  6 84  0  0  0
58  0      0 58949436   1624 1180784    0    0     0     0 13263 158209 11  5 84  0  0  0
73  0      0 58943556   1624 1180784    0    0     0     0 13021 157103 11  5 84  0  0  0
45  0      0 58941968   1624 1180784    0    0     0     0 12989 156918 11  5 84  0  0  0
