procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 60031188    288 940464    0    0 18087  4054 12090   14  8  2 90  0  0  0
 0  0      0 60025040    288 941088    0    0   288     0 4744 3450  0  0 100  0  0  0
 2  1      0 59868848    288 986752    0    0 29592     0 5394 8830  2  1 97  0  0  0
 1  0      0 59763972    288 1020216    0    0 28964     0 5549 14625  5  1 94  0  0  0
 3  0      0 59765092    288 1020816    0    0   564     0  705  625  0  0 100  0  0  0
92  0      0 59555040    288 1023024    0    0  1528     0 14819 132156 12  5 83  0  0  0
38  0      0 59580556    288 1023028    0    0     0     0 14710 160256 12  5 82  0  0  0
17  0      0 59604148    288 1023028    0    0     0     0 13161 156741 11  6 84  0  0  0
65  0      0 59614212    288 1025320    0    0  1800     0 13980 156986 11  6 84  0  0  0
11  0      0 59601216    288 1027216    0    0  2912     0 14141 157100 11  5 83  0  0  0
87  0      0 59588924    288 1028880    0    0   468     0 14733 153217 12  5 83  0  0  0
29  0      0 59584080    288 1028880    0    0     0     0 14335 157907 11  5 84  0  0  0
69  0      0 59583580    288 1028880    0    0     0     0 13255 157135 11  5 84  0  0  0
56  0      0 59575884    288 1028880    0    0     0     0 13131 155384 11  5 84  0  0  0
89  0      0 59571440    288 1028880    0    0     0     0 13599 157737 11  5 84  0  0  0
43  1      0 59487184    296 1062400    0    0 26692   148 21896 162831 11  6 82  0  0  0
46  0      0 59470240   1616 1100920    0    0 21049  2732 24615 164519 16  6 77  0  0  0
89  1      0 59446088   1616 1111572    0    0  9832  1628 22053 162597 15  5 79  1  0  0
44  0      0 59439628   1616 1114388    0    0   740  4220 28535 192661 15  6 78  1  0  0
77  0      0 59436560   1616 1114388    0    0     0     0 14057 157224 11  5 84  0  0  0
24  0      0 59433092   1616 1114388    0    0     0     0 13744 156680 11  5 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
38  0      0 59436328   1616 1114388    0    0     0     0 14257 156808 11  5 84  0  0  0
 1  0      0 59425828   1616 1114388    0    0     0     0 14134 157646 11  5 84  0  0  0
34  0      0 59418240   1616 1114388    0    0     0     0 14163 159330 11  5 84  0  0  0
 6  0      0 59414260   1616 1114388    0    0     0     0 14296 159313 11  5 84  0  0  0
44  0      0 59417464   1616 1114388    0    0   116   136 13631 156610 11  6 84  0  0  0
61  0      0 59417848   1616 1114640    0    0     0     0 14542 158894 11  5 84  0  0  0
53  0      0 59408512   1624 1117568    0    0  1408  5164 14213 159089 11  6 84  0  0  0
 3  0      0 59407748   1624 1117584    0    0    16  1016 14015 157231 11  5 84  0  0  0
42  0      0 59404608   1624 1117600    0    0    16    28 14126 157369 11  5 84  0  0  0
69  0      0 59403928   1624 1117600    0    0     0     0 13403 157269 11  5 84  0  0  0
66  0      0 59404668   1624 1117600    0    0     0     0 13734 156537 11  5 84  0  0  0
22  0      0 59398488   1624 1117600    0    0     0     0 14275 159267 11  5 84  0  0  0
25  0      0 59391560   1624 1117600    0    0     0     4 14482 157978 11  5 84  0  0  0
16  0      0 59390196   1624 1117600    0    0     0     0 14946 158313 11  6 84  0  0  0
44  0      0 59389976   1624 1117600    0    0     0     0 13820 153947 11  5 84  0  0  0
59  0      0 59383436   1624 1117600    0    0     0     0 13319 156895 11  5 84  0  0  0
19  0      0 59371636   1624 1117600    0    0     0     0 13690 156040 11  5 84  0  0  0
58  0      0 59367056   1624 1117600    0    0     0     0 13874 158686 11  5 84  0  0  0
26  0      0 59360672   1624 1117600    0    0     0     0 14472 159318 11  5 84  0  0  0
 1  0      0 59353516   1624 1117600    0    0     0     0 14016 158509 11  5 84  0  0  0
69  0      0 59352076   1624 1117600    0    0     0     0 13510 155342 11  5 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 9  0      0 59347128   1624 1117620    0    0     0   136 14313 156547 11  5 84  0  0  0
42  0      0 59347568   1624 1117620    0    0     0     0 13774 157168 11  5 84  0  0  0
 6  0      0 59338488   1624 1117620    0    0     0     0 13924 155163 11  5 84  0  0  0
34  0      0 59334184   1624 1117620    0    0     0     0 14384 157983 11  6 84  0  0  0
63  0      0 59332480   1624 1117684    0    0    32    72 14198 160683 11  5 84  0  0  0
80  0      0 59327644   1624 1117684    0    0     0     0 14254 158099 11  5 84  0  0  0
