procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  1      0 60057492    288 943100    0    0 17573  3961 12056   14  8  2 90  0  0  0
 0  0      0 60048912    288 943724    0    0   288     0 4484 3365  0  0 100  0  0  0
 5  0      0 59891684    288 990840    0    0 31056     0 5693 9996  2  1 96  0  0  0
 1  0      0 59767360    288 1020496    0    0 27076     0 5651 13997  5  1 94  0  0  0
 2  0      0 59754120    288 1021352    0    0   904     0  869 1510  0  0 99  0  0  0
25  0      0 59563792    288 1022976    0    0  1196     0 14880 143310 13  5 81  0  0  0
60  0      0 59574024    288 1022976    0    0     0     0 14567 156459 12  5 82  0  0  0
69  0      0 59616144    292 1022972    0    0   148   136 14213 157465 11  5 84  0  0  0
31  0      0 59607788    292 1025208    0    0  1800     0 14896 167245 11  6 84  0  0  0
36  0      0 59593664    292 1025480    0    0     0     0 14196 161380 11  6 83  0  0  0
54  0      0 59595380    292 1029004    0    0  3500     0 17209 159475 12  5 83  0  0  0
22  0      0 59588892    292 1029084    0    0     0     0 13381 154921 11  5 84  0  0  0
55  0      0 59586712    292 1029084    0    0     0     0 13661 158052 11  5 84  0  0  0
26  0      0 59577956    292 1029084    0    0     0     0 13352 156550 10  6 84  0  0  0
39  0      0 59572040    292 1029084    0    0     0     0 13892 158281 11  5 84  0  0  0
20  0      0 59572080    292 1029084    0    0     0     0 14673 159267 11  6 84  0  0  0
 4  0      0 59421172   1616 1099020    0    0 47325   312 29635 167969 16  7 76  1  0  0
33  0      0 59406064   1616 1100604    0    0     0     0 17456 154789 15  5 80  0  0  0
13  1      0 59367152   1616 1113384    0    0 10572  5200 30128 192608 16  6 77  1  0  0
60  0      0 59371980   1616 1114244    0    0    48   800 19505 172290 12  6 82  0  0  0
89  0      0 59381144   1616 1114244    0    0     0     0 13386 156669 11  5 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
63  0      0 59386120   1616 1114244    0    0     0     0 14307 158774 11  5 84  0  0  0
48  0      0 59387876   1616 1114244    0    0     0     0 13250 156010 11  5 84  0  0  0
50  0      0 59399688   1616 1114244    0    0     0     0 14505 161428 11  5 84  0  0  0
52  0      0 59404144   1616 1114244    0    0     0     0 13910 159592 11  5 84  0  0  0
 1  0      0 59402796   1616 1114244    0    0     0     0 13857 156866 11  5 84  0  0  0
65  0      0 59402180   1616 1114244    0    0     0     0 13851 156651 11  5 84  0  0  0
36  0      0 59402680   1616 1114244    0    0     0     0 13703 156935 11  5 84  0  0  0
61  0      0 59402336   1616 1114784    0    0   464  5364 14870 161011 11  5 84  0  0  0
73  0      0 59392624   1624 1118928    0    0  1632  6056 14865 160160 11  5 84  0  0  0
44  0      0 59391708   1624 1119348    0    0     0     0 13659 156866 11  5 84  0  0  0
79  0      0 59382652   1624 1119348    0    0     0     0 13885 157825 11  6 84  0  0  0
 1  0      0 59378188   1624 1119348    0    0     0     0 13659 156571 11  5 84  0  0  0
31  0      0 59373460   1624 1119348    0    0     0     4 14788 159017 11  5 84  0  0  0
26  0      0 59364392   1624 1119348    0    0     0     0 14365 161528 11  6 84  0  0  0
77  0      0 59361744   1624 1119348    0    0     0     0 14027 158734 11  5 84  0  0  0
 1  0      0 59356840   1624 1119348    0    0     0     0 13761 155906 10  6 84  0  0  0
26  0      0 59350468   1624 1119348    0    0     0   548 14820 158500 11  5 84  0  0  0
57  0      0 59338696   1624 1119352    0    0     0     0 13934 158987 11  5 84  0  0  0
10  0      0 59338100   1624 1119352    0    0     0     0 13830 156496 11  5 84  0  0  0
46  0      0 59338616   1624 1119352    0    0     0     0 13780 156964 11  5 84  0  0  0
39  0      0 59340552   1624 1119352    0    0     0     0 14758 159588 10  5 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
56  0      0 59348308   1624 1119356    0    0     0     0 14011 157264 11  5 84  0  0  0
34  0      0 59355964   1624 1119356    0    0     0     0 13814 156568 11  5 84  0  0  0
69  0      0 59344964   1624 1119356    0    0     0     0 14673 158980 11  5 84  0  0  0
87  0      0 59346444   1624 1119356    0    0     0     0 14027 160844 10  5 84  0  0  0
51  0      0 59338232   1624 1119356    0    0     0     0 13766 160523 10  6 84  0  0  0
11  0      0 59332100   1624 1119356    0    0     0    72 14066 156569 11  5 84  0  0  0
66  0      0 59339548   1624 1119356    0    0     0     0 13788 156130 10  6 84  0  0  0
53  0      0 59339660   1624 1119356    0    0     0     0 13895 156939 11  5 84  0  0  0
78  0      0 59344988   1624 1119356    0    0     0     0 14098 157936 11  5 84  0  0  0
25  0      0 59338928   1624 1119356    0    0     0     0 14015 156574 10  6 84  0  0  0
20  0      0 59334312   1624 1119356    0    0     0     0 13656 156501 11  5 84  0  0  0
45  0      0 59325732   1624 1119356    0    0     0     0 14180 158316 11  6 84  0  0  0
59  0      0 59321936   1624 1119356    0    0     0     0 13504 156298 11  5 84  0  0  0
50  0      0 59315024   1624 1119356    0    0     0     0 13766 156705 10  5 84  0  0  0
 1  0      0 59309732   1624 1119356    0    0     0     0 13916 158227 10  5 84  0  0  0
53  0      0 59306484   1624 1119356    0    0     0     0 13495 157705 11  5 84  0  0  0
21  0      0 59305960   1624 1119356    0    0     0     0 13435 156782 11  5 84  0  0  0
55  0      0 59305480   1624 1119356    0    0     0   896 13771 157338 11  5 84  0  0  0
41  0      0 59297728   1624 1119356    0    0     0     0 13974 157087 11  5 84  0  0  0
25  0      0 59293816   1624 1119356    0    0     0     0 13747 158609 11  5 84  0  0  0
42  0      0 59292760   1624 1119356    0    0     0     0 14303 157754 10  5 84  0  0  0
