procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  1      0 60037796    288 940436    0    0 17829  4005 12075   14  8  2 90  0  0  0
 0  0      0 60031688    288 941192    0    0   296     0 4603 3769  0  0 99  0  0  0
 2  1      0 59874472    288 987724    0    0 30308     0 5282 9423  2  1 96  0  0  0
 1  0      0 59759196    288 1019564    0    0 29724     0 5641 14561  5  1 94  0  0  0
 5  0      0 59757776    288 1020320    0    0   676     0  604  620  0  0 100  0  0  0
68  0      0 59567204    288 1022044    0    0  1484     0 15215 131185 13  5 82  0  0  0
19  0      0 59607836    288 1022048    0    0     0     0 15447 158954 13  6 82  0  0  0
42  0      0 59604936    288 1023040    0    0   836     0 15397 164229 11  6 83  0  0  0
 1  0      0 59589112    292 1028176    0    0  1900   792 15795 163195 11  6 83  0  0  0
72  0      0 59603332    292 1028240    0    0     0    72 13880 159116 11  6 84  0  0  0
77  0      0 59589940    292 1031688    0    0  3268     0 15392 153077 12  5 83  0  0  0
23  0      0 59588944    292 1031920    0    0   128   136 13255 155102 11  5 84  0  0  0
50  0      0 59580436    292 1031920    0    0     0     0 14435 159699 11  5 84  0  0  0
22  0      0 59575448    292 1031952    0    0     0    72 13458 155656 11  5 84  0  0  0
42  0      0 59573472    292 1032352    0    0    64   404 13933 158028 11  6 84  0  0  0
38  0      0 59571376    292 1032400    0    0     0    72 14171 156419 11  5 84  0  0  0
74  0      0 59391412   1616 1103752    0    0 47164   312 30484 166740 16  7 76  1  0  0
 9  0      0 59374176   1616 1114208    0    0  9764  1100 22170 168246 15  6 79  0  0  0
16  0      0 59350380   1616 1117136    0    0   808  4268 30967 197210 16  6 78  1  0  0
59  0      0 59355112   1616 1117672    0    0    36  1040 14004 156413 11  5 83  0  0  0
 1  0      0 59351724   1616 1117672    0    0     0     0 12948 155942 11  5 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
78  0      0 59356628   1616 1117672    0    0     0     0 13726 157048 11  5 84  0  0  0
 1  0      0 59351660   1616 1117672    0    0     0     0 13204 155698 11  5 84  0  0  0
35  0      0 59353464   1616 1117672    0    0     0     0 13715 156261 11  5 84  0  0  0
61  0      0 59349288   1616 1117672    0    0     0     0 13741 155557 11  5 84  0  0  0
61  0      0 59345248   1616 1117672    0    0     0     0 13252 155046 11  5 84  0  0  0
56  0      0 59337384   1616 1117672    0    0     0     0 13440 155487 11  5 84  0  0  0
52  0      0 59345384   1616 1117672    0    0     0     0 13902 159143 11  6 84  0  0  0
