procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 59633384    288 988440    0    0 10977  3424 12979   21 10  2 87  0  0  0
 0  0      0 59623488    288 989068    0    0   288     0 4180 3846  0  0 99  0  0  0
 4  0      0 59517208    288 1022076    0    0 19932     0 4727 7586  2  1 98  0  0  0
 2  0      0 59413100    288 1064136    0    0 36516     0 5259 15558  4  1 95  0  0  0
 0  0      0 59360920    288 1067408    0    0  3492     0 1798 3077  2  0 98  0  0  0
23  0      0 59167996    288 1070080    0    0  2172     0 9621 75627  8  3 90  0  0  0
68  0      0 59113332    288 1070084    0    0     0     0 17426 157052 14  6 80  0  0  0
43  0      0 59136928    288 1070084    0    0     0     0 13077 158348 11  6 83  0  0  0
29  0      0 59141964    288 1072256    0    0  1800     0 14351 163510 11  5 84  0  0  0
 6  0      0 59191864    288 1072256    0    0     0     0 14397 163987 11  6 84  0  0  0
79  0      0 59179324    288 1075528    0    0  3624     0 15699 160660 12  5 83  0  0  0
59  0      0 59173756    288 1076060    0    0     0     0 14294 158676 11  6 83  0  0  0
46  0      0 59169188    288 1076060    0    0     0     0 13474 158519 11  5 84  0  0  0
 1  0      0 59163324    288 1076060    0    0     0     0 13291 159067 11  5 84  0  0  0
50  0      0 59160120    288 1076060    0    0     0     0 13985 158900 11  6 84  0  0  0
57  0      0 59158220    288 1076060    0    0     0     0 13727 157722 11  5 84  0  0  0
 5  0      0 58938152   1616 1143376    0    0 45892   312 25882 163461 14  7 78  1  0  0
59  0      0 59048332   1616 1147404    0    0  1240     0 21578 159479 15  5 80  0  0  0
39  1      0 59011428   1616 1161908    0    0 10572  3480 25659 175096 16  6 78  1  0  0
25  0      0 59015732   1616 1163628    0    0   112  2372 23558 195397 13  6 81  0  0  0
62  0      0 59007924   1616 1164028    0    0   116   408 13856 163571 11  6 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
