procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  1      0 59937272    288 990220    0    0 10600  3338 12901   22 10  2 87  0  0  0
 0  0      0 59924056    288 990976    0    0   296     0 5048 3660  0  0 99  0  0  0
 3  2      0 59753900    288 1038172    0    0 31360     0 5747 9319  2  1 96  0  0  0
 0  0      0 59655000    288 1069436    0    0 28596     0 5771 14753  5  1 94  0  0  0
 1  0      0 59657468    288 1070132    0    0   676     0  747  786  0  0 100  0  0  0
86  0      0 59447144    288 1072012    0    0  1500     0 14808 133652 13  5 82  0  0  0
 2  0      0 59469972    288 1072012    0    0     0     0 14510 162556 13  6 82  0  0  0
34  0      0 59442228    288 1072012    0    0     0     0 14261 160268 11  5 83  0  0  0
56  0      0 59496524    288 1074112    0    0  1724     0 14010 158007 11  5 84  0  0  0
54  0      0 59486352    288 1077988    0    0  3696     0 14737 154444 11  6 83  0  0  0
 8  0      0 59481448    288 1077988    0    0     0     0 13587 155059 11  5 84  0  0  0
28  0      0 59473312    288 1077988    0    0     0     0 13110 156402 11  5 84  0  0  0
 1  0      0 59464348    288 1077988    0    0     0     0 13407 158536 11  6 84  0  0  0
45  0      0 59459300    288 1077988    0    0     0     0 14184 158863 11  5 84  0  0  0
32  0      0 59453964    288 1077988    0    0     0     0 13437 156978 11  5 84  0  0  0
86  0      0 59234284    296 1146836    0    0 43788   312 23754 162610 13  7 80  1  0  0
17  0      0 59288244   1616 1151620    0    0  3425     0 24340 164522 16  6 78  0  0  0
51  0      0 59290600   1616 1164168    0    0 10604  4260 26959 180293 16  6 77  1  0  0
55  0      0 59289424   1616 1165484    0    0   128  1744 24004 190029 13  6 81  0  0  0
62  0      0 59288224   1616 1165788    0    0   148   136 14150 165596 10  5 84  0  0  0
24  0      0 59286828   1616 1165788    0    0     0     0 13605 156635 10  5 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 59279188   1616 1165788    0    0     0     0 14029 158664 11  5 84  0  0  0
68  0      0 59281328   1616 1165788    0    0     0     0 14917 160846 11  5 84  0  0  0
59  0      0 59283100   1616 1165788    0    0     0     0 14187 158524 11  5 84  0  0  0
17  0      0 59280932   1616 1165788    0    0     0     0 14091 159030 11  5 84  0  0  0
75  0      0 59272692   1616 1165788    0    0     0     0 13325 157938 11  5 84  0  0  0
79  0      0 59266528   1616 1165788    0    0     0     0 14133 159192 11  6 84  0  0  0
34  0      0 59259588   1616 1165788    0    0     0     0 13848 161831 11  5 84  0  0  0
37  0      0 59259216   1616 1166604    0    0   576  5796 14775 164232 11  5 84  0  0  0
77  0      0 59253228   1624 1171364    0    0  1824  6836 14573 160936 11  5 84  0  0  0
33  0      0 59241644   1624 1171532    0    0     0     0 14518 161561 11  5 84  0  0  0
10  0      0 59239404   1624 1171532    0    0     0     0 13668 157021 11  5 84  0  0  0
 1  0      0 59234108   1624 1171532    0    0     0     0 13839 157951 11  5 84  0  0  0
38  0      0 59232172   1624 1171532    0    0     0     4 13582 157896 11  5 84  0  0  0
31  0      0 59227096   1624 1171532    0    0     0     0 13814 159068 11  5 84  0  0  0
 1  0      0 59220568   1624 1171532    0    0     0     0 13832 158604 11  5 84  0  0  0
33  0      0 59223304   1624 1171532    0    0     0     0 13501 154104 11  6 84  0  0  0
37  0      0 59218052   1624 1171532    0    0     0     0 13103 157265 11  5 84  0  0  0
76  0      0 59214136   1624 1171532    0    0     0     0 14032 159975 11  5 84  0  0  0
38  0      0 59220616   1624 1171532    0    0     0     0 14636 159353 11  5 84  0  0  0
49  0      0 59219204   1624 1171532    0    0     0     0 14372 159154 11  5 84  0  0  0
55  0      0 59216148   1624 1171532    0    0     0     0 13722 157430 11  6 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 59210036   1624 1171536    0    0     0     0 13977 157511 11  5 84  0  0  0
50  0      0 59201800   1624 1171536    0    0     0     0 14236 159397 11  5 84  0  0  0
21  0      0 59199744   1624 1171536    0    0     0     0 14370 158417 11  5 84  0  0  0
 1  0      0 59205368   1624 1171536    0    0     0     0 13671 158700 11  5 84  0  0  0
73  0      0 59197800   1624 1171552    0    0    16    72 13940 157183 11  5 84  0  0  0
27  0      0 59193320   1624 1171552    0    0     0     0 14600 159379 11  5 84  0  0  0
12  0      0 59194420   1624 1171552    0    0     0     0 13520 158030 11  5 84  0  0  0
54  0      0 59193680   1624 1171560    0    0     0   408 13724 156514 11  5 84  0  0  0
28  0      0 59191996   1624 1171560    0    0     0     8 14182 158058 11  5 84  0  0  0
70  0      0 59202660   1624 1171560    0    0     0     0 14027 157867 11  5 84  0  0  0
44  0      0 59196136   1624 1171560    0    0     0     0 13852 158338 11  5 84  0  0  0
 1  0      0 59195156   1624 1171560    0    0     0     0 14768 159302 11  5 84  0  0  0
41  0      0 59189940   1624 1171560    0    0     0     0 13926 156848 11  5 84  0  0  0
 1  0      0 59197704   1624 1171560    0    0     0     0 13933 159085 11  5 84  0  0  0
37  0      0 59193924   1624 1171560    0    0     0     0 13427 157565 11  5 84  0  0  0
 1  0      0 59190900   1624 1171560    0    0     0     0 13656 157888 11  5 84  0  0  0
49  0      0 59189320   1624 1171560    0    0     0     0 13531 157392 11  5 84  0  0  0
75  0      0 59188616   1624 1171736    0    0   208  3628 14310 154574 11  5 84  0  0  0
49  0      0 59190524   1624 1171768    0    0     0     0 13967 149650 10  5 84  0  0  0
 8  0      0 59182456   1624 1171768    0    0     0     0 13525 157768 11  5 84  0  0  0
59  0      0 59184296   1624 1171768    0    0     0     0 14222 158936 11  5 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
37  0      0 59179668   1624 1171768    0    0     0    76 13731 156416 11  5 84  0  0  0
72  0      0 59178460   1624 1171768    0    0     0     8 14323 159874 11  6 84  0  0  0
59  0      0 59184608   1624 1171772    0    0     0     0 13906 156327 11  5 84  0  0  0
59  0      0 59177380   1624 1171772    0    0     0     0 14310 161785 11  5 84  0  0  0
43  0      0 59178192   1624 1171772    0    0     0     0 14085 157526 11  5 84  0  0  0
23  0      0 59175560   1624 1171772    0    0     0     0 13717 156184 11  5 84  0  0  0
43  0      0 59182116   1624 1171772    0    0     0     0 13937 158012 11  5 84  0  0  0
37  0      0 59178156   1624 1171772    0    0     0     0 14655 160059 11  6 84  0  0  0
 9  0      0 59174268   1624 1171772    0    0     0     0 14096 158718 11  5 84  0  0  0
70  0      0 59179308   1624 1171772    0    0     0     0 13996 157513 11  5 84  0  0  0
81  0      0 59174544   1624 1171772    0    0     0     0 13618 156277 11  5 84  0  0  0
52  0      0 59169184   1624 1171772    0    0     0     0 14000 157290 11  5 84  0  0  0
43  0      0 59179964   1624 1171772    0    0     0     0 14406 159110 11  6 84  0  0  0
 1  0      0 59168840   1624 1171772    0    0     0     0 13892 159182 11  5 84  0  0  0
53  0      0 59171400   1624 1171772    0    0     0     0 13781 157617 11  5 84  0  0  0
 1  0      0 59164036   1624 1171772    0    0     0     0 13646 158292 11  5 84  0  0  0
56  0      0 59168768   1624 1171772    0    0     0   136 14397 160199 11  5 84  0  0  0
32  0      0 59164312   1624 1171772    0    0     0     0 13765 158378 11  5 84  0  0  0
 1  0      0 59156276   1624 1171772    0    0     0     4 13999 157158 11  5 84  0  0  0
55  0      0 59158180   1624 1171772    0    0     0     0 13646 157132 11  5 84  0  0  0
36  0      0 59167240   1624 1171772    0    0     0     0 13879 156018 11  5 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
48  0      0 59164816   1624 1171776    0    0     0     0 14537 159173 11  5 84  0  0  0
37  0      0 59162552   1624 1171776    0    0     0     0 13964 157367 11  5 84  0  0  0
92  0      0 59166860   1624 1171776    0    0     0     0 14069 156919 11  5 84  0  0  0
56  0      0 59161020   1624 1171776    0    0     0     0 13879 157312 11  5 84  0  0  0
51  0      0 59160552   1624 1171776    0    0     0     0 14029 158734 11  5 84  0  0  0
 1  0      0 59163600   1624 1171776    0    0     0     0 13655 156567 11  5 84  0  0  0
28  0      0 59164308   1624 1171776    0    0     0   384 13774 157122 11  5 84  0  0  0
56  0      0 59157688   1624 1171776    0    0     0   136 14003 157477 11  5 84  0  0  0
49  0      0 59156600   1624 1171776    0    0     0     0 14072 156284 11  5 84  0  0  0
70  0      0 59153824   1624 1171776    0    0     0     0 13699 154718 11  5 84  0  0  0
49  0      0 59162324   1624 1171872    0    0    48  1196 13712 153155 11  5 84  0  0  0
71  0      0 59171480   1624 1171872    0    0     0     8 13466 156774 11  5 84  0  0  0
42  0      0 59177196   1624 1171872    0    0     0     0 14439 155345 11  5 84  0  0  0
 8  0      0 59168224   1624 1171872    0    0     0     0 14044 157607 11  5 84  0  0  0
45  0      0 59165552   1624 1171872    0    0     0     0 13550 158612 11  5 84  0  0  0
68  0      0 59168776   1624 1171872    0    0     0     0 14248 158979 11  5 84  0  0  0
70  0      0 59171980   1624 1171872    0    0     0     0 14134 158282 11  5 84  0  0  0
46  0      0 59168748   1624 1171872    0    0     0     0 14268 158165 11  5 84  0  0  0
83  0      0 59172292   1624 1171872    0    0     0     0 13514 157982 11  5 84  0  0  0
63  0      0 59168872   1624 1171872    0    0     0     0 13322 157551 11  5 84  0  0  0
38  0      0 59166344   1624 1171872    0    0     0     0 13928 158894 11  5 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
76  0      0 59164776   1624 1171872    0    0     0     0 13696 156858 11  5 84  0  0  0
61  0      0 59164292   1624 1171872    0    0     0     0 13525 158056 11  5 84  0  0  0
63  0      0 59164584   1624 1171872    0    0     0     0 13625 155011 11  5 84  0  0  0
78  0      0 59156948   1624 1171872    0    0     0     0 14204 160274 11  5 84  0  0  0
24  0      0 59150144   1624 1171868    0    0     0   408 13762 157824 11  5 84  0  0  0
55  0      0 59153308   1624 1171880    0    0     0     0 13680 156884 11  5 84  0  0  0
52  0      0 59154824   1624 1171880    0    0     0     0 13703 158192 11  5 84  0  0  0
70  0      0 59153192   1624 1171880    0    0     0     0 14196 158460 11  5 84  0  0  0
25  0      0 59158568   1624 1171880    0    0     0     0 13741 156722 11  5 84  0  0  0
76  0      0 59164976   1624 1171880    0    0     0     0 14130 156643 11  5 84  0  0  0
34  0      0 59162372   1624 1171880    0    0     0     0 13833 159183 11  5 84  0  0  0
 3  0      0 59157420   1624 1171880    0    0     0     0 13890 158528 11  5 84  0  0  0
40  0      0 59155936   1624 1171880    0    0     0     0 13464 157289 11  5 84  0  0  0
32  0      0 59155172   1624 1171880    0    0     0     0 13780 158780 11  5 84  0  0  0
49  0      0 59151056   1624 1171880    0    0     0     0 14121 158667 11  5 84  0  0  0
60  0      0 59147068   1624 1171880    0    0     0     0 13204 158360 11  5 84  0  0  0
32  0      0 59149848   1624 1171880    0    0     0     0 14101 159879 11  5 84  0  0  0
42  0      0 59142384   1624 1171880    0    0     0   352 13789 157152 11  5 84  0  0  0
66  0      0 59148056   1624 1171880    0    0     0     0 13743 157224 11  5 84  0  0  0
51  0      0 59148932   1624 1171880    0    0     0     0 13549 156996 11  5 84  0  0  0
21  0      0 59144572   1624 1171880    0    0     0     0 14285 156673 11  5 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
63  0      0 59149648   1624 1171964    0    0    80  1300 13555 157653 11  5 84  0  0  0
31  0      0 59144700   1624 1171964    0    0     0     0 14168 158403 11  5 84  0  0  0
 1  0      0 59145736   1624 1171964    0    0     0     0 14193 158526 11  5 84  0  0  0
57  0      0 59149380   1624 1171964    0    0     0     0 13627 153610 11  5 84  0  0  0
59  0      0 59147244   1624 1171964    0    0     0     0 13522 158033 11  5 84  0  0  0
 0  0      0 59149740   1624 1172184    0    0     4     0 2471 12171  1  0 98  0  0  0
 0  0      0 59351952   1624 1172052    0    0     0     0  784  601  0  0 100  0  0  0
 0  0      0 59378848   1624 1172052    0    0     0     0  505  344  0  0 100  0  0  0
 0  0      0 59405196   1624 1172052    0    0     0     0  510  242  0  0 100  0  0  0
 0  0      0 59422360   1624 1172052    0    0     0     0  594  320  0  0 100  0  0  0
 0  0      0 59439188   1624 1172052    0    0     0     0  778  358  0  0 100  0  0  0
 0  0      0 59454592   1624 1172052    0    0     0     0  487  254  0  0 100  0  0  0
 0  0      0 59469364   1624 1172052    0    0     0     0  498  238  0  0 100  0  0  0
 0  0      0 59487000   1624 1172060    0    0     0   136  758  426  0  0 100  0  0  0
 0  0      0 59504148   1624 1172052    0    0     0     0  772  357  0  0 100  0  0  0
 0  0      0 59519900   1624 1172052    0    0     0     0  603  345  0  0 100  0  0  0
 0  0      0 59534052   1624 1172052    0    0     0     8  528  274  0  0 100  0  0  0
