procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  1      0 59917880    288 953096    0    0 15032  3758 12436   17  9  2 89  0  0  0
 0  0      0 59900268    288 953856    0    0   312     0 4930 3460  0  0 100  0  0  0
 4  0      0 59743556    292 1002292    0    0 32504   136 5983 9844  3  1 96  0  0  0
 0  0      0 59632864    292 1032428    0    0 27604     0 5506 14196  5  1 94  0  0  0
 5  0      0 59613844    292 1033356    0    0   960     0  995 1228  0  0 99  0  0  0
 2  0      0 59420296    292 1035096    0    0  1180     0 27087 142707 13  6 82  0  0  0
54  0      0 59416024    292 1035096    0    0     0     0 14131 159493 12  6 83  0  0  0
32  0      0 59417268    292 1035096    0    0     0     0 13041 155921 11  5 84  0  0  0
81  0      0 59405316    292 1039376    0    0  1724     0 14607 159224 11  5 84  0  0  0
56  0      0 59396096    292 1041700    0    0  2904     0 13817 157030 11  5 83  0  0  0
50  0      0 59387316    292 1043024    0    0   564     0 13724 150716 12  5 83  0  0  0
 1  0      0 59385512    292 1043024    0    0     0     0 13827 156137 11  5 83  0  0  0
47  0      0 59420984    292 1043024    0    0     0     0 13554 156476 11  5 84  0  0  0
48  0      0 59411884    292 1043024    0    0     0     0 13455 155296 11  5 84  0  0  0
 1  0      0 59407860    292 1043024    0    0     0     0 13118 155883 11  5 84  0  0  0
75  0      0 59310556    296 1075960    0    0 27000   148 21733 161798 11  6 82  0  0  0
 3  0      0 59280324   1616 1114788    0    0 20517   164 23230 156443 16  6 77  0  0  0
79  0      0 59267092   1616 1125324    0    0  9796  1548 22864 167042 16  6 78  1  0  0
 1  0      0 59250008   1616 1128364    0    0   760  4440 29551 195504 15  6 78  1  0  0
83  0      0 59248492   1616 1128364    0    0     0     0 13774 157680 11  5 84  0  0  0
51  0      0 59247868   1616 1128364    0    0     0     0 13560 158752 11  5 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
14  0      0 59256800   1616 1128364    0    0     0     0 13364 156668 11  5 84  0  0  0
47  0      0 59252004   1616 1128364    0    0     0     0 13336 156197 11  5 84  0  0  0
23  0      0 59249336   1616 1128364    0    0     0     0 13350 156411 11  5 84  0  0  0
66  0      0 59250016   1616 1128364    0    0     0     0 14540 159038 11  6 84  0  0  0
70  0      0 59250928   1616 1128364    0    0     0     0 13533 158213 11  5 84  0  0  0
80  0      0 59250424   1616 1128364    0    0     0     0 13269 157147 11  5 84  0  0  0
55  0      0 59250868   1616 1128380    0    0     0  2228 13898 158791 11  5 84  0  0  0
59  0      0 59241008   1624 1133116    0    0  1936  8744 14608 162904 11  5 84  0  0  0
 1  0      0 59235912   1624 1133116    0    0     0     0 14072 157754 11  5 84  0  0  0
48  0      0 59231668   1624 1133116    0    0     0     0 13631 157470 11  5 84  0  0  0
 1  0      0 59229468   1624 1133116    0    0     0     0 14622 158902 11  5 84  0  0  0
48  0      0 59218660   1624 1133120    0    0     0   408 13590 154613 11  5 84  0  0  0
70  0      0 59216712   1624 1133120    0    0     0    12 13906 157509 11  5 84  0  0  0
32  0      0 59217496   1624 1133120    0    0     0     0 13487 157865 11  5 84  0  0  0
39  0      0 59212820   1624 1133120    0    0     0     0 13526 156219 11  6 84  0  0  0
 1  0      0 59212320   1624 1133120    0    0     0     0 13677 157609 10  6 84  0  0  0
53  0      0 59210888   1624 1133120    0    0     0     0 13350 156358 11  5 84  0  0  0
 1  0      0 59212824   1624 1133120    0    0     0     0 13644 157051 11  5 84  0  0  0
60  0      0 59216140   1624 1133120    0    0     0     0 13323 154850 11  5 84  0  0  0
 1  0      0 59218260   1624 1133120    0    0     0     0 13976 158812 11  5 84  0  0  0
62  0      0 59213700   1624 1133120    0    0     0     0 13601 157425 11  5 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
63  0      0 59207244   1624 1133124    0    0     0     0 14376 157332 11  5 84  0  0  0
57  0      0 59207800   1624 1133124    0    0     0     0 13973 157122 11  5 84  0  0  0
 2  0      0 59189944   1624 1133124    0    0     0     0 13748 157301 11  5 84  0  0  0
45  0      0 59191300   1624 1133124    0    0     0     0 13444 157325 11  5 84  0  0  0
39  0      0 59187856   1624 1133140    0    0    16    72 13753 156765 11  5 84  0  0  0
 6  0      0 59189096   1624 1133140    0    0     0     0 13826 155991 11  5 84  0  0  0
