procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 59918756    292 993564    0    0 14696  3694 12400   18  9  2 89  0  0  0
 0  0      0 59908768    292 994176    0    0   272     0 4103 3478  0  0 100  0  0  0
 4  0      0 59788968    292 1042876    0    0 33004    72 6384 11041  3  1 96  0  0  0
 0  0      0 59681780    292 1074052    0    0 27712   704 6177 16787  5  1 94  1  0  0
 1  0      0 59676100    292 1074968    0    0   676   352 1070 1048  0  0 100  0  0  0
58  0      0 59464112    292 1076944    0    0  1488   136 16044 137229 13  5 82  0  0  0
 1  1      0 59509568    292 1076960    0    0    16     0 17709 164950 12  6 82  0  0  0
49  0      0 59481704    292 1077304    0    0   144   200 14072 165388 11  6 84  0  0  0
54  1      0 59502976    292 1081512    0    0  1740     0 14143 159384 11  6 83  0  0  0
52  1      0 59503756    292 1081844    0    0    36   632 13379 152617 11  6 83  0  0  0
 1  0      0 59488828    292 1084956    0    0  3260   236 15495 155776 12  6 82  0  0  0
27  0      0 59490864    292 1084956    0    0     0     0 13718 158938 11  6 84  0  0  0
46  0      0 59479824    292 1084956    0    0     0     0 13318 159790 11  6 84  0  0  0
52  0      0 59474676    292 1084956    0    0     0     0 13403 159391 11  6 84  0  0  0
32  0      0 59469140    292 1084956    0    0     0     0 13779 160581 11  6 84  0  0  0
 5  1      0 59436136    296 1099928    0    0 13612   892 19424 165756 11  6 83  0  0  0
50  0      0 59391720   1616 1157756    0    0 33217   164 23376 161978 16  6 77  0  0  0
 5  1      0 59352692   1616 1168128    0    0  9716  1316 22688 168760 15  6 78  0  0  0
63  1      0 59342908   1616 1170968    0    0   760  4684 29131 205683 15  6 78  1  0  0
 1  0      0 59347664   1616 1171180    0    0     0     0 14156 163443 10  6 84  0  0  0
36  0      0 59336284   1616 1171180    0    0     0     0 13561 156048 11  5 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
39  0      0 59338440   1616 1171180    0    0     0     0 13575 158339 11  5 84  0  0  0
 1  0      0 59336244   1616 1171180    0    0     0     0 13444 159117 11  5 84  0  0  0
43  0      0 59341088   1616 1171180    0    0     0     0 13610 158545 11  5 84  0  0  0
82  0      0 59333220   1616 1171180    0    0     0     0 13339 157988 10  6 84  0  0  0
72  0      0 59331212   1616 1171180    0    0     0     0 13726 160987 11  6 84  0  0  0
56  0      0 59319812   1616 1171180    0    0     0     0 13437 159333 11  6 84  0  0  0
 1  0      0 59324784   1616 1171180    0    0     0  7104 14232 161538 11  5 84  0  0  0
39  0      0 59320816   1616 1171548    0    0   480  3116 14535 167905 11  6 84  0  0  0
36  0      0 59302384   1624 1193244    0    0  9120 24940 17463 170133 11  6 83  0  0  0
24  0      0 59296048   1624 1193244    0    0     0     0 13250 158434 11  6 84  0  0  0
 1  0      0 59290496   1624 1193244    0    0     0     0 13467 160664 11  6 84  0  0  0
54  0      0 59284964   1624 1193244    0    0     0     0 13156 159365 11  5 84  0  0  0
59  0      0 59281952   1624 1193260    0    0     0     4 13898 163863 11  6 84  0  0  0
43  0      0 59278880   1624 1193260    0    0     0     0 13515 160431 11  6 84  0  0  0
48  0      0 59274704   1624 1193260    0    0     0     0 13350 158758 11  6 84  0  0  0
 1  0      0 59268696   1624 1193260    0    0     0     0 13000 158159 11  5 84  0  0  0
68  0      0 59265452   1624 1193260    0    0     0     0 13400 158277 11  5 84  0  0  0
44  0      0 59260792   1624 1193260    0    0     0     0 13431 159965 11  6 84  0  0  0
78  0      0 59260872   1624 1193260    0    0     0   136 13903 160777 11  5 84  0  0  0
 1  0      0 59256960   1624 1193260    0    0     0     0 13155 159232 11  5 84  0  0  0
57  0      0 59252764   1624 1193260    0    0     0     0 13306 159625 11  5 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
38  0      0 59241260   1624 1193264    0    0     0     0 13457 159064 11  5 84  0  0  0
47  0      0 59231624   1624 1193264    0    0     0     8 12825 159227 10  5 84  0  0  0
55  0      0 59229432   1624 1193264    0    0     0     0 13747 160790 11  5 84  0  0  0
18  0      0 59222952   1624 1193264    0    0     0     0 13544 159177 10  6 84  0  0  0
55  0      0 59223648   1624 1193264    0    0     0    72 13687 160928 11  6 84  0  0  0
30  0      0 59220280   1624 1193264    0    0     0     0 13104 158810 11  6 84  0  0  0
22  0      0 59215564   1624 1193264    0    0     0     0 14214 159644 10  6 84  0  0  0
 1  0      0 59211632   1624 1193264    0    0     0     0 12987 159257 11  6 84  0  0  0
73  0      0 59212640   1624 1193264    0    0     0     0 13392 159618 11  5 84  0  0  0
48  0      0 59210692   1624 1193264    0    0     0     0 13855 158896 11  6 84  0  0  0
11  0      0 59202516   1624 1193264    0    0     0     0 14113 160670 11  6 84  0  0  0
37  0      0 59206200   1624 1193264    0    0     0     0 14254 162311 11  5 84  0  0  0
29  0      0 59210616   1624 1193264    0    0     0     0 13642 162959 11  5 84  0  0  0
43  0      0 59206684   1624 1193264    0    0     0     0 14865 168245 10  6 84  0  0  0
66  0      0 59199396   1624 1193264    0    0     0     0 14228 162560 11  5 84  0  0  0
33  0      0 59196124   1624 1193264    0    0     0     0 13447 159386 11  5 84  0  0  0
60  0      0 59199976   1624 1193264    0    0     0     0 13841 158377 11  6 84  0  0  0
75  0      0 59201700   1624 1193264    0    0     0   896 13536 158187 11  6 84  0  0  0
61  0      0 59200528   1624 1193264    0    0     0     0 13522 159624 11  5 84  0  0  0
60  0      0 59196240   1624 1193264    0    0     0     0 13028 159378 11  6 84  0  0  0
 1  0      0 59188140   1624 1193264    0    0     0     0 13096 157545 11  5 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
52  0      0 59189560   1624 1193264    0    0     0     0 13984 163735 10  6 84  0  0  0
46  0      0 59184496   1624 1193472    0    0   160  2420 14145 163030 11  5 84  0  0  0
24  0      0 59174784   1624 1193476    0    0     0     0 13385 162175 11  5 84  0  0  0
55  0      0 59169212   1624 1193476    0    0     0     0 13083 158415 11  5 84  0  0  0
47  0      0 59163076   1624 1193476    0    0     0     0 14063 160515 11  5 84  0  0  0
62  0      0 59161132   1624 1193476    0    0     0     0 13207 158862 11  6 84  0  0  0
56  0      0 59152820   1624 1193480    0    0     0   544 13674 159863 10  6 84  0  0  0
77  0      0 59152376   1624 1193480    0    0     0     0 13095 158349 10  6 84  0  0  0
51  0      0 59141224   1624 1193480    0    0     0     0 13038 156769 11  5 84  0  0  0
57  0      0 59147452   1624 1193480    0    0     0     0 13599 160224 11  6 84  0  0  0
 1  0      0 59149956   1624 1193480    0    0     0     4 14318 162073 11  6 84  0  0  0
68  0      0 59151340   1624 1193480    0    0     0     0 13521 158990 11  5 84  0  0  0
20  0      0 59144564   1624 1193480    0    0     0     0 13426 159831 11  6 84  0  0  0
 1  0      0 59144376   1624 1193448    0    0     0     0 13150 158469 11  5 84  0  0  0
66  0      0 59145684   1624 1193448    0    0     0     0 13491 159632 11  6 84  0  0  0
31  0      0 59148040   1624 1193448    0    0     0     0 13398 159374 11  5 84  0  0  0
23  0      0 59140308   1624 1193448    0    0     0     0 13809 161387 11  5 84  0  0  0
48  0      0 59137628   1624 1193448    0    0     0     0 13593 158445 11  6 84  0  0  0
47  0      0 59135312   1624 1193448    0    0     0     0 13349 159559 11  6 84  0  0  0
42  0      0 59131432   1624 1193448    0    0     0     0 13193 158781 11  5 84  0  0  0
74  0      0 59126180   1624 1193448    0    0     0     0 13208 158535 11  6 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
54  0      0 59127036   1624 1193452    0    0     0     0 13423 159140 10  6 84  0  0  0
33  0      0 59131236   1624 1193452    0    0     0     0 13063 158594 11  5 84  0  0  0
10  0      0 59139744   1624 1193452    0    0     0     0 13068 159125 11  6 84  0  0  0
21  0      0 59139720   1624 1193452    0    0     0     0 13631 160205 11  5 84  0  0  0
57  0      0 59147412   1624 1193452    0    0     0     0 14449 160552 11  6 84  0  0  0
42  0      0 59154644   1624 1193452    0    0     0     0 13496 159504 11  5 84  0  0  0
51  0      0 59154176   1624 1193452    0    0     0     0 13538 158981 11  6 84  0  0  0
 8  0      0 59147280   1624 1193452    0    0     0     0 13365 159003 11  5 84  0  0  0
17  0      0 59147240   1624 1193420    0    0     0     0 12998 158067 11  5 84  0  0  0
69  0      0 59149828   1624 1193420    0    0     0     0 13507 161555 10  6 84  0  0  0
39  0      0 59144368   1624 1193420    0    0     0   392 13213 159580 10  6 84  0  0  0
23  0      0 59140200   1624 1193420    0    0     0     0 13075 158784 11  5 84  0  0  0
46  0      0 59138096   1624 1193420    0    0     0     0 14109 161850 11  6 84  0  0  0
62  0      0 59142192   1624 1193420    0    0     0     0 13428 159300 11  6 84  0  0  0
44  0      0 59138560   1624 1193420    0    0     0     0 13571 159500 11  6 84  0  0  0
 1  0      0 59139008   1624 1193424    0    0     0   136 13244 159510 11  6 84  0  0  0
53  0      0 59134892   1624 1193424    0    0     0     0 12954 158214 11  6 84  0  0  0
55  0      0 59133072   1624 1193456    0    0    32   940 13237 159632 11  5 84  0  0  0
 1  0      0 59144384   1624 1193456    0    0     0     0 13095 158789 11  5 84  0  0  0
 1  0      0 59142572   1624 1193456    0    0     0     0 12978 155772 10  6 84  0  0  0
77  0      0 59141696   1624 1193456    0    0     0     0 13754 162437 10  6 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
25  0      0 59149912   1624 1193456    0    0     0     0 13251 157812 11  6 84  0  0  0
42  0      0 59156104   1624 1193456    0    0     0     0 13523 159228 11  6 84  0  0  0
56  0      0 59144072   1624 1193456    0    0     0     0 13742 161881 11  5 84  0  0  0
71  0      0 59136620   1624 1193456    0    0     0     0 13987 159810 11  6 84  0  0  0
48  0      0 59134772   1624 1193456    0    0     0     0 13251 158329 11  5 84  0  0  0
15  0      0 59133212   1624 1193456    0    0     0     0 13679 159673 11  5 84  0  0  0
78  0      0 59130292   1624 1193456    0    0     0     0 13688 159581 11  6 84  0  0  0
74  0      0 59133348   1624 1193456    0    0     0     0 13387 158887 11  6 84  0  0  0
 1  0      0 59126120   1624 1193456    0    0     0     0 14072 161528 11  6 84  0  0  0
46  0      0 59120316   1624 1193456    0    0     0     0 13302 158660 11  5 84  0  0  0
66  0      0 59120192   1624 1193456    0    0     0     0 13378 158544 11  5 84  0  0  0
50  0      0 59123224   1624 1193456    0    0     0     0 13695 159757 11  6 84  0  0  0
39  0      0 59118728   1624 1193456    0    0     0     0 12977 155274 11  6 84  0  0  0
31  0      0 59118796   1624 1193456    0    0     0     0 13510 159727 11  5 84  0  0  0
13  0      0 59115264   1624 1193456    0    0     0     0 13679 159576 10  6 84  0  0  0
40  0      0 59113068   1624 1193456    0    0     0     0 14479 161524 11  6 84  0  0  0
49  0      0 59111988   1624 1193456    0    0     0     0 13371 158243 11  6 84  0  0  0
30  0      0 59109216   1624 1193456    0    0     0     0 12820 158028 11  5 84  0  0  0
46  0      0 59107780   1624 1193456    0    0     0     0 13439 158735 10  6 84  0  0  0
29  0      0 59110600   1624 1193456    0    0     0     0 13004 158343 11  5 84  0  0  0
43  0      0 59110344   1624 1193424    0    0     0     4 13308 159038 11  6 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
27  0      0 59104324   1624 1193428    0    0     0     0 13224 159408 11  6 84  0  0  0
11  0      0 59103700   1624 1193428    0    0     0     0 13367 159297 11  5 84  0  0  0
51  0      0 59112260   1624 1193428    0    0     0     0 12996 158555 11  6 84  0  0  0
35  0      0 59118636   1624 1193436    0    0     0   408 13670 159711 11  6 84  0  0  0
48  0      0 59116200   1624 1193436    0    0     0     4 13650 161021 11  6 84  0  0  0
 0  0      0 59117536   1624 1193664    0    0     4   136 2662 9746  2  0 98  0  0  0
 0  0      0 59325300   1624 1193532    0    0     0     0  939  652  0  0 100  0  0  0
 0  0      0 59337592   1624 1193532    0    0     0     0  694  321  0  0 100  0  0  0
 0  0      0 59358040   1624 1193532    0    0     0     0  610  289  0  0 100  0  0  0
 0  0      0 59376620   1624 1193532    0    0     0     0  721  441  0  0 100  0  0  0
 0  0      0 59388624   1624 1193532    0    0     0     0  494  310  0  0 100  0  0  0
 0  0      0 59412436   1624 1193532    0    0     0     0  487  243  0  0 100  0  0  0
 1  0      0 59433488   1624 1193532    0    0   424   660  890  910  0  0 100  0  0  0
 0  0      0 59449404   1624 1193768    0    0   140     0 1276 1017  0  0 100  0  0  0
 0  0      0 59445304   1624 1194452    0    0   128     0 1070  955  0  0 100  0  0  0
 0  0      0 59457928   1624 1194500    0    0    32   536 1149 1114  0  0 100  0  0  0
 0  0      0 59463460   1624 1194532    0    0    32   144  858  489  0  0 100  0  0  0
 0  0      0 59473332   1624 1194532    0    0     0     0  990  401  0  0 100  0  0  0
 0  0      0 59491880   1624 1194532    0    0     0     0  624  347  0  0 100  0  0  0
 0  0      0 59501140   1624 1194532    0    0     0     0  612  331  0  0 100  0  0  0
 0  0      0 59517496   1624 1194532    0    0     0     0  556  313  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 59530920   1624 1194532    0    0     0     0 1034  342  0  0 100  0  0  0
 0  0      0 59543788   1624 1194524    0    0     0     0  852  468  0  0 100  0  0  0
 0  0      0 59556932   1624 1194524    0    0     0     0  552  285  0  0 100  0  0  0
 0  0      0 59565892   1624 1194524    0    0     0     0  629  381  0  0 100  0  0  0
 0  0      0 59574008   1624 1194524    0    0     0     0  568  312  0  0 100  0  0  0
 0  0      0 59582408   1624 1194524    0    0     0     0  627  258  0  0 100  0  0  0
 0  0      0 59583644   1624 1194524    0    0     0     0  536  255  0  0 100  0  0  0
 0  0      0 59591884   1624 1194520    0    0     0     0  647  478  0  0 100  0  0  0
 0  0      0 59595500   1624 1194520    0    0     0     0  598  406  0  0 100  0  0  0
 0  0      0 59598392   1624 1194936    0    0   416  5172 1119 2084  0  0 100  0  0  0
 0  0      0 59600192   1624 1194936    0    0     0     0  725  299  0  0 100  0  0  0
 0  0      0 59601940   1624 1194940    0    0     0     0  531  284  0  0 100  0  0  0
 0  0      0 59605376   1624 1194940    0    0     0   136  734  456  0  0 100  0  0  0
 0  0      0 59608468   1624 1194940    0    0     0     0  724  396  0  0 100  0  0  0
 0  0      0 59614760   1624 1194940    0    0     0     0 1067  566  0  0 100  0  0  0
 3  0      0 59572924   1624 1194972    0    0    96     0 2562 4525  3  0 96  0  0  0
 0  0      0 59446748   1624 1195124    0    0     0     0 2533 3998  4  0 96  0  0  0
34  0      0 59406860   1624 1195228    0    0     0     0 4162 33780  4  1 95  0  0  0
 8  0      0 59347648   1624 1195232    0    0     0     0 14650 156932 14  6 81  0  0  0
42  0      0 59346604   1624 1195232    0    0     0     0 13964 161158 12  6 82  0  0  0
87  0      0 59384304   1624 1195232    0    0     0     4 12892 157901 11  5 83  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
41  0      0 59378380   1624 1195232    0    0     0     0 12739 158766 11  5 84  0  0  0
59  0      0 59372932   1624 1195236    0    0     0     0 12895 158700 11  5 84  0  0  0
28  0      0 59366424   1624 1195240    0    0     0     0 12852 157078 11  6 84  0  0  0
47  0      0 59366796   1624 1195256    0    0    16   112 13767 159155 11  6 83  0  0  0
 1  0      0 59359296   1624 1195256    0    0     0     0 13143 160224 11  6 84  0  0  0
29  0      0 59356648   1624 1195256    0    0     0     0 13004 159988 11  5 84  0  0  0
71  0      0 59353860   1624 1195256    0    0     0     0 13994 158821 11  6 84  0  0  0
59  0      0 59353404   1624 1195260    0    0     0     0 13867 161326 11  5 84  0  0  0
39  0      0 59350924   1624 1195260    0    0     0     0 14003 161501 11  6 84  0  0  0
48  0      0 59347416   1624 1195260    0    0     0     0 13461 161148 11  5 84  0  0  0
 9  0      0 59341628   1624 1195260    0    0     0     0 13570 160248 11  6 84  0  0  0
55  0      0 59350300   1624 1195260    0    0     0     0 14035 164653 11  5 84  0  0  0
68  0      0 59348572   1624 1195260    0    0     0     0 13735 161961 11  6 84  0  0  0
56  0      0 59343564   1624 1195260    0    0     0     0 13762 162005 11  6 84  0  0  0
47  0      0 59336604   1624 1195260    0    0     0     0 13499 161258 11  6 84  0  0  0
73  0      0 59331000   1624 1195260    0    0     0     0 13907 160674 11  6 84  0  0  0
66  0      0 59334512   1624 1195260    0    0    36     0 13737 161136 11  6 84  0  0  0
75  0      0 59325740   1624 1195288    0    0     0     0 13366 160860 11  6 84  0  0  0
17  0      0 59326976   1624 1195320    0    0    32  2252 15035 171537 11  6 84  0  0  0
17  0      0 59319980   1624 1195320    0    0     0     8 14557 167839 11  6 84  0  0  0
21  0      0 59314504   1624 1195320    0    0     0     0 13937 162049 11  6 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
12  0      0 59304208   1624 1195324    0    0     0   408 13457 161411 11  5 84  0  0  0
33  0      0 59299768   1624 1195324    0    0     0     0 13063 159830 11  5 84  0  0  0
96  0      0 59296672   1624 1195348    0    0    28     8 13924 161317 11  6 84  0  0  0
79  0      0 59290000   1624 1195348    0    0     0     0 13276 162136 11  6 84  0  0  0
31  0      0 59281452   1624 1195348    0    0     0   136 13620 162424 11  5 84  0  0  0
35  0      0 59278148   1624 1195348    0    0     0     0 14279 166904 11  6 84  0  0  0
71  0      0 59274276   1624 1195348    0    0     0     0 13770 163714 11  5 84  0  0  0
42  0      0 59262372   1624 1195348    0    0     0     0 13491 161191 11  5 84  0  0  0
65  0      0 59258760   1624 1195348    0    0     0     0 13541 159948 11  6 84  0  0  0
41  0      0 59248076   1624 1195348    0    0     0     0 13429 159737 11  6 84  0  0  0
39  0      0 59241888   1624 1195348    0    0     0     0 13294 160622 11  5 84  0  0  0
 0  0      0 59228264   1624 1195372    0    0     0     0 11064 120990  9  4 87  0  0  0
 0  0      0 59401508   1624 1195240    0    0     0     0  928  633  0  0 100  0  0  0
 0  0      0 59406248   1624 1197252    0    0  1848     0 1013 1950  0  0 100  0  0  0
 1  0      0 59413568   1624 1197252    0    0    16     0 1528 4169  1  0 99  0  0  0
