procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 59561732    288 1011848    0    0  9605  3326 13185   23 11  2 86  0  0  0
 0  0      0 59553312    288 1012472    0    0   376     0 3883 3683  0  0 99  0  0  0
 3  0      0 59412488    288 1059160    0    0 30976     0 5874 9523  3  1 96  0  0  0
 0  0      0 59289924    288 1088860    0    0 27080     0 5290 14099  5  1 94  0  0  0
 4  0      0 59284516    288 1089716    0    0   904     0  791 1071  0  0 100  0  0  0
 5  0      0 59053648    288 1091536    0    0  1228     0 23741 139206 13  5 82  0  0  0
39  0      0 59077360    288 1091536    0    0     0     0 15819 155464 13  6 81  0  0  0
41  0      0 59112504    288 1091536    0    0     0     0 13301 154146 11  6 84  0  0  0
31  0      0 59106692    288 1093568    0    0  1732     0 14356 157239 11  6 83  0  0  0
50  0      0 59096976    288 1097384    0    0  3872     0 14831 157467 11  6 83  0  0  0
75  0      0 59070900    288 1097624    0    0     0     0 15041 162233 11  6 83  0  0  0
22  0      0 59106448    288 1097624    0    0     0     0 14568 159037 11  6 83  0  0  0
60  0      0 59098740    288 1097624    0    0     0     0 13918 159238 11  5 84  0  0  0
41  0      0 59093712    288 1097624    0    0     0     0 13261 157653 11  5 84  0  0  0
58  0      0 59090456    288 1097624    0    0     0     0 13447 157105 11  5 84  0  0  0
71  0      0 58900348    296 1163680    0    0 43676   312 23850 162639 13  7 80  1  0  0
46  0      0 58972016   1616 1169860    0    0  3732   408 23243 160850 17  6 77  0  0  0
44  0      0 58931152   1616 1183640    0    0  9980  3000 24552 167976 15  6 78  1  0  0
65  0      0 58923308   1616 1186368    0    0   768  3004 26591 192693 13  6 80  1  0  0
24  0      0 58927168   1616 1186452    0    0     0     0 13461 158808 11  6 84  0  0  0
65  0      0 58926492   1616 1186452    0    0     0     0 13224 155579 11  6 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
56  0      0 58928000   1616 1186452    0    0     0     0 14272 161954 11  6 84  0  0  0
43  0      0 58942300   1616 1186452    0    0     0     0 13236 156980 11  6 84  0  0  0
35  0      0 58938284   1616 1186452    0    0     0     0 13716 159411 11  6 84  0  0  0
13  0      0 58935192   1616 1186452    0    0     0     0 13133 158261 11  6 84  0  0  0
 1  0      0 58932980   1616 1186452    0    0     0     0 13384 157057 11  5 84  0  0  0
37  0      0 58929932   1616 1186452    0    0     0     0 13148 157451 11  5 84  0  0  0
68  1      0 58920380   1616 1186452    0    0     0  2208 12954 156884 11  5 84  0  0  0
