procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 59901564    288 1012152    0    0  9713  3354 13211   23 11  2 86  0  0  0
 0  0      0 59889720    288 1012956    0    0   376     0 4805 3407  0  0 99  0  0  0
 3  0      0 59734220    288 1060052    0    0 30944     0 5860 9855  2  1 96  0  0  0
 0  0      0 59631020    288 1091408    0    0 28972     0 5569 14250  5  1 94  0  0  0
 2  0      0 59631336    288 1091980    0    0   676     0  720  691  0  0 100  0  0  0
66  0      0 59438336    288 1094152    0    0  1544     0 14618 132616 12  5 83  0  0  0
83  0      0 59454688    292 1094208    0    0   148   136 14686 159186 13  5 82  0  0  0
42  0      0 59451192    292 1094460    0    0     0     0 13651 157986 11  5 84  0  0  0
36  0      0 59448632    292 1096680    0    0  1800     0 14410 158310 11  6 84  0  0  0
55  0      0 59436664    292 1096680    0    0     0     0 12927 154882 11  5 84  0  0  0
33  0      0 59409184    292 1100480    0    0  3852     0 16467 161525 11  5 83  0  0  0
 1  0      0 59394472    292 1100716    0    0     0     0 14549 163921 11  5 84  0  0  0
44  0      0 59395500    292 1100716    0    0     0     0 14008 161292 11  5 84  0  0  0
 7  0      0 59414436    292 1100716    0    0     0     0 14351 160636 11  5 84  0  0  0
51  0      0 59409044    292 1100716    0    0     0     0 13650 157671 11  5 84  0  0  0
33  0      0 59404396    292 1100716    0    0     0     0 13867 157250 10  5 84  0  0  0
44  0      0 59312028   1616 1167992    0    0 46980   312 28051 162618 16  7 77  1  0  0
69  0      0 59299960   1616 1172128    0    0   232     0 21519 160875 15  5 80  0  0  0
32  0      0 59273328   1616 1185424    0    0 10620  5052 28725 182748 17  6 76  1  0  0
44  0      0 59269204   1616 1186356    0    0    16   948 21274 175422 12  5 82  0  0  0
70  0      0 59261976   1616 1186356    0    0     0     0 14524 158148 11  5 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
69  0      0 59251920   1616 1186356    0    0     0     0 14066 158767 10  5 84  0  0  0
 3  0      0 59246900   1616 1186356    0    0     0     0 13933 157890 11  5 84  0  0  0
69  0      0 59252392   1616 1186356    0    0     0     0 14093 166667 10  5 84  0  0  0
27  0      0 59243840   1616 1186356    0    0     0     0 14309 165462 10  5 84  0  0  0
87  0      0 59236060   1616 1186356    0    0     0     0 14050 159174 11  5 84  0  0  0
80  0      0 59237464   1616 1186356    0    0     0     0 14885 158982 10  5 84  0  0  0
47  0      0 59232872   1616 1186356    0    0     0     0 13889 159136 11  5 84  0  0  0
39  0      0 59221700   1624 1192776    0    0  3024 13556 16416 167042 11  6 84  0  0  0
35  0      0 59221324   1624 1193268    0    0     0     0 14287 156700 11  6 84  0  0  0
13  0      0 59216128   1624 1193268    0    0     0     0 14389 157038 11  5 84  0  0  0
 1  0      0 59218952   1624 1193268    0    0     0     0 13795 160212 10  5 84  0  0  0
52  0      0 59218596   1624 1193268    0    0     0     0 14503 158728 11  5 84  0  0  0
 1  0      0 59211244   1624 1193268    0    0     0     4 14262 160645 11  5 84  0  0  0
58  0      0 59211984   1624 1193268    0    0     0     0 14101 159834 10  5 84  0  0  0
18  0      0 59214824   1624 1193268    0    0     0     0 14407 157219 11  5 84  0  0  0
62  0      0 59214220   1624 1193276    0    0     0   416 14284 157549 10  6 84  0  0  0
 1  0      0 59215408   1624 1193272    0    0     0     0 13964 156342 10  5 84  0  0  0
11  0      0 59209092   1624 1193272    0    0     0     0 14599 159899 10  5 84  0  0  0
77  0      0 59205764   1624 1193272    0    0     0     0 13950 159017 11  5 84  0  0  0
 1  0      0 59201356   1624 1193272    0    0     0     0 14321 158445 11  5 84  0  0  0
56  0      0 59200348   1624 1193272    0    0     0     0 14235 156353 11  5 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
55  0      0 59194628   1624 1193276    0    0     0     0 13969 155859 10  5 84  0  0  0
64  0      0 59183388   1624 1193276    0    0     0     0 14360 158350 11  5 84  0  0  0
 8  0      0 59177476   1624 1193276    0    0     0     0 13852 156683 11  5 84  0  0  0
66  0      0 59170048   1624 1193276    0    0     0     0 14125 158928 11  5 84  0  0  0
62  0      0 59165484   1624 1193276    0    0     0     0 13809 157572 10  5 84  0  0  0
16  0      0 59157964   1624 1193276    0    0     0    72 14457 157888 11  5 84  0  0  0
51  0      0 59151268   1624 1193276    0    0     0     0 15211 160096 11  5 84  0  0  0
15  0      0 59151328   1624 1193276    0    0     0     0 14696 158056 11  5 84  0  0  0
37  0      0 59152144   1624 1193276    0    0     0     0 13287 156838 11  5 84  0  0  0
85  0      0 59154032   1624 1193276    0    0     0     0 13887 155641 11  5 84  0  0  0
62  0      0 59153032   1624 1193276    0    0     0     0 13035 153177 10  5 84  0  0  0
47  0      0 59162004   1624 1193276    0    0     0     0 14236 157327 11  5 84  0  0  0
52  0      0 59156284   1624 1193276    0    0     0     0 13357 156238 10  5 84  0  0  0
22  0      0 59158052   1624 1193276    0    0     0     0 13441 156685 11  5 84  0  0  0
58  0      0 59162616   1624 1193276    0    0     0   136 14682 164738 11  5 84  0  0  0
31  0      0 59160356   1624 1193276    0    0     0     0 13481 155833 11  5 84  0  0  0
42  0      0 59159468   1624 1193276    0    0     0     0 13757 159633 10  5 84  0  0  0
50  0      0 59152080   1624 1193276    0    0     0   928 14263 156707 11  5 84  0  0  0
 1  0      0 59162596   1624 1193276    0    0     0     0 14576 158280 10  5 84  0  0  0
87  0      0 59161152   1624 1193276    0    0     0     0 13699 156324 10  6 84  0  0  0
 2  0      0 59150212   1624 1193276    0    0     0    76 13988 155792 11  5 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
49  0      0 59145512   1624 1193276    0    0     0     0 13820 157159 10  6 84  0  0  0
34  0      0 59140504   1624 1193308    0    0     0     8 14834 159881 10  6 84  0  0  0
42  0      0 59140328   1624 1193520    0    0   160  3020 13823 157833 11  5 84  0  0  0
58  0      0 59129836   1624 1193524    0    0     0   136 14478 158778 11  5 84  0  0  0
33  0      0 59130296   1624 1193524    0    0     0     4 13889 159864 11  5 84  0  0  0
71  0      0 59130156   1624 1193524    0    0     0     0 14071 160444 10  5 84  0  0  0
71  0      0 59126504   1624 1193524    0    0     0     0 13648 153997 11  5 84  0  0  0
56  0      0 59123940   1624 1193524    0    0     0     0 14065 155925 10  5 84  0  0  0
68  0      0 59134012   1624 1193524    0    0     0     0 14073 157067 11  5 84  0  0  0
26  0      0 59135768   1624 1193524    0    0     0     0 14056 159224 10  6 84  0  0  0
70  0      0 59132408   1624 1193524    0    0     0     0 14112 165738 10  6 84  0  0  0
18  0      0 59127292   1624 1193524    0    0     0     0 13913 161354 10  5 84  0  0  0
59  0      0 59126380   1624 1193524    0    0     0     0 13601 156338 11  5 84  0  0  0
50  0      0 59129380   1624 1193524    0    0     0     0 13270 155615 10  5 84  0  0  0
71  0      0 59119260   1624 1193524    0    0     0     0 13911 160234 11  5 84  0  0  0
 7  0      0 59110788   1624 1193524    0    0     0     0 14490 161594 10  5 84  0  0  0
43  0      0 59108040   1624 1193460    0    0     0     0 13694 155762 10  6 84  0  0  0
12  0      0 59110864   1624 1193460    0    0     0     0 13089 156764 10  5 84  0  0  0
51  0      0 59117524   1624 1193460    0    0     0     0 12942 156528 10  5 84  0  0  0
 1  0      0 59117348   1624 1193460    0    0     0     0 13602 156288 11  5 84  0  0  0
37  0      0 59113252   1624 1193460    0    0     0     0 14306 157726 11  5 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
10  0      0 59114736   1624 1193736    0    0   580     0 14787 160800 11  5 83  0  0  0
54  0      0 59109348   1624 1194248    0    0    48   792 14473 159326 11  5 84  0  0  0
27  0      0 59118572   1624 1194248    0    0     0    72 13754 157669 11  5 84  0  0  0
61  0      0 59115408   1624 1194248    0    0     0     0 13878 157056 11  5 84  0  0  0
12  0      0 59106224   1624 1194248    0    0     0     0 14120 157679 10  5 84  0  0  0
48  0      0 59103312   1624 1194248    0    0     0     0 13357 157090 11  5 84  0  0  0
59  0      0 59106012   1624 1194248    0    0     0     0 13751 157960 11  6 84  0  0  0
46  0      0 59101768   1624 1194312    0    0    64   820 13978 156953 10  5 84  0  0  0
69  0      0 59093648   1624 1194312    0    0     0     0 13130 155937 10  5 84  0  0  0
45  0      0 59096384   1624 1194312    0    0     0  1440 13791 158572 11  5 84  0  0  0
80  0      0 59106296   1624 1194312    0    0     0     0 13313 156737 11  5 84  0  0  0
31  0      0 59112628   1624 1194312    0    0     0     8 14008 157551 11  5 84  0  0  0
 1  0      0 59112204   1624 1194316    0    0     0   408 13900 156362 11  5 84  0  0  0
54  0      0 59110780   1624 1194316    0    0   368  3948 15226 160251 10  6 84  0  0  0
21  0      0 59116124   1624 1194684    0    0     0     0 13830 157252 11  5 84  0  0  0
52  0      0 59109120   1624 1194684    0    0     0     0 13985 157908 11  5 84  0  0  0
