procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 59864284    292 1012960    0    0  9551  3312 13169   23 11  3 86  0  0  0
 0  0      0 59849124    292 1013732    0    0   344     0 4701 3906  0  0 100  0  0  0
 1  1      0 59686872    292 1059468    0    0 29956     0 5280 8895  2  1 96  0  0  0
 2  0      0 59643780    292 1089060    0    0 27144     0 4410 13885  3  1 96  0  0  0
 0  0      0 59583372    292 1091852    0    0  2916     0 1704 3718  2  0 98  0  0  0
27  0      0 59414760    292 1094760    0    0  2256   136 6573 51541  5  2 93  0  0  0
75  0      0 59394596    292 1094764    0    0     0     0 15459 151577 14  5 81  0  0  0
57  0      0 59423960    292 1094764    0    0     0     0 13934 157394 12  6 83  0  0  0
84  0      0 59424548    292 1097040    0    0  1800     0 13821 154902 11  5 83  0  0  0
76  0      0 59413872    292 1100680    0    0  3812     0 14324 155804 11  5 83  0  0  0
63  0      0 59408180    292 1101032    0    0     0     0 13514 152107 11  5 84  0  0  0
46  0      0 59396576    292 1101036    0    0     0     0 14025 156305 11  5 84  0  0  0
 1  0      0 59399980    292 1101040    0    0     0     0 14453 162148 11  6 83  0  0  0
89  0      0 59397832    292 1101040    0    0     0     0 13608 155910 11  5 84  0  0  0
54  0      0 59393660    292 1101104    0    0     0   136 13802 156147 11  5 84  0  0  0
31  1      0 59244348    296 1166860    0    0 42452   312 24378 163522 13  6 80  1  0  0
35  0      0 59260120   1616 1172560    0    0  4809     0 22755 157126 15  6 79  0  0  0
83  0      0 59239992   1616 1185388    0    0  9848  1876 24915 165200 16  6 78  1  0  0
37  0      0 59241048   1616 1188364    0    0   868  3828 26425 191684 14  6 80  1  0  0
48  0      0 59243268   1616 1188364    0    0     0     0 14074 156778 11  5 84  0  0  0
81  0      0 59241308   1616 1188364    0    0     0     0 13443 157771 11  5 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
32  0      0 59237936   1616 1188552    0    0   292     0 14710 158483 11  5 84  0  0  0
 1  0      0 59235180   1616 1189512    0    0   484   288 15388 161620 11  6 83  0  0  0
31  1      0 59167736   1616 1225556    0    0 37352   176 20955 177854 11  6 83  1  0  0
 1  0      0 59162772   1616 1227076    0    0   168  1012 15959 159827 11  6 83  0  0  0
47  0      0 59160316   1616 1227236    0    0     8    72 14560 158123 11  5 84  0  0  0
30  0      0 59161724   1616 1227356    0    0    16    72 13468 156918 11  5 84  0  0  0
79  0      0 59161556   1616 1230328    0    0  3388   168 14516 162902 11  5 84  0  0  0
63  0      0 59173828   1616 1231276    0    0   496  7420 15253 162581 11  5 84  0  0  0
74  0      0 59158064   1624 1240236    0    0  3152 11144 15377 160129 11  6 83  0  0  0
34  0      0 59155408   1624 1240300    0    0     0    72 13673 157927 11  5 84  0  0  0
102  0      0 59149532   1624 1240332    0    0     0    72 13781 155313 11  6 84  0  0  0
32  0      0 59152980   1624 1240332    0    0     0     0 13509 155686 11  5 84  0  0  0
60  0      0 59137944   1624 1240428    0    0     0     4 14273 158294 11  5 84  0  0  0
72  0      0 59139948   1624 1240684    0    0    16   564 14162 157668 11  5 84  0  0  0
53  0      0 59134420   1624 1240748    0    0     0     4 13589 156094 11  5 84  0  0  0
 1  0      0 59131712   1624 1240748    0    0     0     0 13951 157348 10  5 84  0  0  0
63  0      0 59134084   1624 1240748    0    0     0     0 13644 154743 11  6 84  0  0  0
30  0      0 59129952   1624 1240748    0    0     0     0 14333 157021 11  5 84  0  0  0
40  0      0 59126240   1624 1241900    0    0    32   404 13936 156451 11  5 84  0  0  0
27  0      0 59124676   1624 1241852    0    0     0     0 13804 155693 11  5 84  0  0  0
65  0      0 59120880   1624 1241852    0    0     0     0 13712 157492 11  5 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
25  0      0 59112476   1624 1241856    0    0     0     0 13513 156005 11  5 84  0  0  0
69  0      0 59109740   1624 1241856    0    0     0     0 13589 156511 11  5 84  0  0  0
12  0      0 59095832   1624 1241856    0    0     0     0 13642 156502 11  5 84  0  0  0
57  0      0 59081864   1624 1241856    0    0     0     0 13709 155779 10  5 84  0  0  0
48  0      0 59090876   1624 1241920    0    0     0    72 13927 158427 11  5 84  0  0  0
 1  0      0 59083308   1624 1242032    0    0     0     0 14412 158619 10  5 84  0  0  0
40  0      0 59078832   1624 1242032    0    0     0     0 13517 156776 10  5 84  0  0  0
 1  0      0 59076076   1624 1242032    0    0     0     0 13372 156435 11  5 84  0  0  0
67  0      0 59072472   1624 1242032    0    0     0     0 13254 157014 11  5 84  0  0  0
34  0      0 59072856   1624 1242032    0    0     0     0 13556 152943 11  5 84  0  0  0
52  0      0 59084836   1624 1242032    0    0     0     0 14573 157149 11  5 84  0  0  0
19  0      0 59077372   1624 1242032    0    0     0     0 13491 155881 11  5 84  0  0  0
62  0      0 59066856   1624 1242032    0    0     0     0 13561 156043 11  5 84  0  0  0
52  0      0 59065064   1624 1242032    0    0     0     0 13167 155987 10  5 84  0  0  0
77  0      0 59072672   1624 1242032    0    0     0     0 13931 156500 11  5 84  0  0  0
36  0      0 59083328   1624 1242032    0    0     0     0 14304 153972 11  5 84  0  0  0
59  0      0 59081932   1624 1242032    0    0     0     0 13562 156107 11  5 84  0  0  0
