procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 59930820    288 965700    0    0 13304  3623 12696   19 10  2 88  0  0  0
 0  0      0 59927376    288 966152    0    0   360     0 4442 3501  0  0 100  0  0  0
 3  0      0 59775540    288 1013072    0    0 30744     0 5701 9619  3  1 96  0  0  0
 0  0      0 59660652    288 1044372    0    0 29040     0 5666 14418  5  1 94  0  0  0
 1  0      0 59654556    292 1045456    0    0   856   136  894 1058  0  0 100  0  0  0
21  0      0 59468056    292 1047264    0    0  1312     0 14559 137694 13  5 82  0  0  0
49  0      0 59493500    292 1047332    0    0     0   136 15730 157297 13  6 81  0  0  0
 1  0      0 59492104    292 1047332    0    0     0     0 13173 157616 11  5 84  0  0  0
 1  0      0 59496808    292 1051252    0    0  1724     0 14208 159677 11  6 83  0  0  0
54  0      0 59491724    292 1051252    0    0     0     0 13413 157459 11  6 83  0  0  0
42  0      0 59487640    292 1054640    0    0  3600     0 16669 165124 11  5 83  0  0  0
 1  0      0 59493060    292 1055036    0    0     0     0 14270 161536 11  5 84  0  0  0
35  0      0 59482744    292 1055036    0    0     0     0 13671 158165 11  6 84  0  0  0
41  0      0 59479912    292 1055036    0    0     0     0 13523 157613 11  6 84  0  0  0
58  0      0 59471836    292 1055036    0    0     0     0 13867 159694 11  5 84  0  0  0
75  0      0 59466696    292 1055036    0    0     0     0 13532 158248 11  5 84  0  0  0
51  0      0 59327280   1616 1126816    0    0 47417   312 28716 162544 15  7 77  1  0  0
65  0      0 59325656   1616 1127732    0    0   160  1264 25145 168629 16  6 78  0  0  0
37  0      0 59323336   1616 1129364    0    0   348  3000 25738 183494 14  6 80  1  0  0
43  0      0 59292144   1616 1140752    0    0 10144  2048 19598 171675 13  6 81  1  0  0
58  0      0 59282624   1616 1140752    0    0     0     0 13462 159012 11  5 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
80  0      0 59272344   1616 1140752    0    0     0     0 13272 157951 11  5 84  0  0  0
 1  0      0 59261068   1616 1140752    0    0     0     0 13553 157656 11  5 84  0  0  0
55  0      0 59261312   1616 1140752    0    0     0     0 13408 158618 11  5 84  0  0  0
52  0      0 59257724   1616 1140752    0    0     0     0 13378 158128 11  5 84  0  0  0
73  0      0 59255892   1616 1140752    0    0     0     0 13519 158196 11  5 84  0  0  0
70  0      0 59254996   1616 1140752    0    0     0     0 14411 162107 11  5 84  0  0  0
87  0      0 59256868   1616 1140752    0    0     0     0 13849 159263 11  5 84  0  0  0
35  0      0 59254708   1616 1141440    0    0   464  5960 14541 163212 11  5 84  0  0  0
82  0      0 59251916   1624 1146448    0    0  1824  6828 14480 161050 10  6 84  0  0  0
44  0      0 59247072   1624 1146448    0    0     0     0 13860 158605 11  5 84  0  0  0
44  0      0 59241596   1624 1146448    0    0     0     0 13217 157615 11  5 84  0  0  0
35  0      0 59243388   1624 1146448    0    0     0     0 13747 158464 11  5 84  0  0  0
28  0      0 59241732   1624 1146544    0    0     0     4 13603 159725 11  5 84  0  0  0
72  0      0 59244440   1624 1146608    0    0     0     0 13598 158227 11  5 84  0  0  0
42  0      0 59239016   1624 1146640    0    0     0     4 13588 157673 11  6 84  0  0  0
61  0      0 59229904   1624 1146904    0    0     0   408 13899 158178 11  6 84  0  0  0
 1  0      0 59236580   1624 1146904    0    0     0     0 13496 158780 11  5 84  0  0  0
23  0      0 59232544   1624 1146904    0    0     0     0 13607 158417 11  5 84  0  0  0
57  0      0 59228668   1624 1146904    0    0     0     0 13455 160057 11  5 84  0  0  0
