procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 59928964    288 967540    0    0 13177  3597 12676   19 10  2 88  0  0  0
 0  0      0 59911532    288 969376    0    0   336     0 4617 3871  0  0 99  0  0  0
 4  0      0 59763260    288 1016648    0    0 30992     0 6102 9001  2  1 96  0  0  0
 0  0      0 59631420    288 1045792    0    0 26568     0 5570 13970  5  1 94  0  0  0
 3  0      0 59628276    288 1046544    0    0   756     0  997 1016  0  0 100  0  0  0
72  0      0 59477720    288 1048324    0    0  1232     0 13995 139690 13  5 82  0  0  0
33  0      0 59493360    288 1048360    0    0   192     0 13813 157323 13  5 82  0  0  0
75  0      0 59488588    288 1048520    0    0     0     0 12975 157062 11  6 84  0  0  0
27  0      0 59493156    288 1050092    0    0  1724     0 14771 160415 11  6 83  0  0  0
26  0      0 59486692    288 1050636    0    0     0     0 13562 158125 11  5 84  0  0  0
 1  0      0 59463304    288 1054368    0    0  3552     0 15375 157959 12  6 82  0  0  0
58  0      0 59479244    288 1054368    0    0     0     0 14165 163009 11  6 84  0  0  0
76  0      0 59473828    288 1054368    0    0     0     0 13506 161477 11  5 84  0  0  0
92  0      0 59470512    292 1054500    0    0    48    68 13209 156815 11  6 84  0  0  0
 3  0      0 59460836    292 1054500    0    0     0     0 13299 157356 11  5 84  0  0  0
46  0      0 59459084    292 1054500    0    0     0     0 13225 157867 11  6 84  0  0  0
30  0      0 59370384   1616 1124688    0    0 47196   312 30600 159185 16  7 77  1  0  0
73  1      0 59359872   1616 1135852    0    0  9592   784 20015 158119 14  5 80  0  0  0
36  0      0 59339524   1616 1139836    0    0  1108  5532 33781 207801 16  6 77  1  0  0
65  0      0 59336328   1616 1139836    0    0     0     0 14157 159721 11  6 84  0  0  0
26  0      0 59337800   1616 1139836    0    0     0     0 13675 159584 11  5 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
15  0      0 59330912   1616 1139836    0    0     0     0 13353 157211 11  5 84  0  0  0
51  0      0 59339152   1616 1139836    0    0     0     0 13577 158976 11  6 84  0  0  0
46  0      0 59338448   1616 1139836    0    0     0     0 13296 157558 10  6 84  0  0  0
47  0      0 59332444   1616 1140092    0    0   116   136 13491 157457 11  5 84  0  0  0
72  0      0 59328060   1616 1140092    0    0     0     0 14240 159864 11  6 84  0  0  0
50  0      0 59321400   1616 1140092    0    0     0     0 13638 160985 11  5 84  0  0  0
39  0      0 59320976   1616 1140092    0    0     0     0 14295 162014 11  6 84  0  0  0
23  0      0 59324400   1624 1144620    0    0  2016 12052 15420 166461 11  6 84  0  0  0
44  0      0 59311428   1624 1145196    0    0     0     0 13834 163523 11  6 84  0  0  0
44  0      0 59309424   1624 1145196    0    0     0   136 14201 160741 11  6 84  0  0  0
 1  0      0 59300288   1624 1145196    0    0     0     0 13974 161718 11  6 84  0  0  0
79  0      0 59301540   1624 1145196    0    0     0     0 13886 158170 11  5 84  0  0  0
71  0      0 59300460   1624 1145196    0    0     0     4 13450 157017 11  5 84  0  0  0
32  0      0 59294016   1624 1145196    0    0     0     0 13351 156003 11  5 84  0  0  0
48  0      0 59296840   1624 1145196    0    0     0     0 13789 159013 11  5 84  0  0  0
31  0      0 59290880   1624 1145196    0    0     0     0 13669 158614 11  5 84  0  0  0
26  0      0 59281224   1624 1145196    0    0     0     0 13785 158145 11  5 84  0  0  0
19  0      0 59276216   1624 1145196    0    0     0     0 13594 158393 11  5 84  0  0  0
66  0      0 59274716   1624 1145196    0    0     0     0 13753 159575 11  5 84  0  0  0
50  0      0 59266864   1624 1145196    0    0     0     0 14040 157931 11  5 84  0  0  0
33  0      0 59267736   1624 1145196    0    0     0     0 13395 158672 11  5 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
63  0      0 59264304   1624 1145200    0    0     0     0 14359 160876 11  6 84  0  0  0
33  0      0 59252788   1624 1145200    0    0     0     0 13844 157796 11  5 84  0  0  0
83  0      0 59254316   1624 1145200    0    0     0     0 13474 158319 11  5 84  0  0  0
25  0      0 59249324   1624 1145200    0    0     0     0 13650 158990 11  5 84  0  0  0
56  0      0 59248628   1624 1145200    0    0     0     0 14166 159274 11  5 84  0  0  0
56  0      0 59239208   1624 1145200    0    0     0    72 13442 156960 11  5 84  0  0  0
62  0      0 59227844   1624 1145200    0    0     0     0 13728 157684 11  6 84  0  0  0
48  0      0 59226024   1624 1145200    0    0     0     0 13071 154235 11  5 84  0  0  0
60  0      0 59224276   1624 1145200    0    0     0     0 13571 159666 11  5 84  0  0  0
67  0      0 59214060   1624 1145200    0    0     0     0 13944 159244 11  5 84  0  0  0
18  0      0 59211980   1624 1145200    0    0     0     0 13651 157348 11  5 84  0  0  0
51  0      0 59210072   1624 1145200    0    0     0     0 13654 158013 11  5 84  0  0  0
39  0      0 59201184   1624 1145208    0    0     0   416 13787 160635 11  5 84  0  0  0
14  0      0 59199280   1624 1145208    0    0     0     0 13257 156393 11  6 84  0  0  0
64  0      0 59197664   1624 1145208    0    0     0     0 13530 157972 11  5 84  0  0  0
43  0      0 59197072   1624 1145208    0    0     0     0 13524 157949 11  6 84  0  0  0
 1  0      0 59197544   1624 1145208    0    0     0     0 13019 157721 11  5 84  0  0  0
53  0      0 59193372   1624 1145208    0    0     0   960 13149 157747 11  5 84  0  0  0
60  0      0 59187472   1624 1145208    0    0     0     0 13351 154903 11  6 84  0  0  0
47  0      0 59185164   1624 1145640    0    0    80  2124 13490 157735 11  5 84  0  0  0
11  0      0 59182180   1624 1145640    0    0     0     0 13721 158322 11  5 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
53  0      0 59193308   1624 1145640    0    0     0    76 13353 158858 11  5 84  0  0  0
86  0      0 59188996   1624 1145656    0    0    16     8 13251 157481 11  5 84  0  0  0
17  0      0 59181368   1624 1145660    0    0     0     0 13467 159667 11  5 84  0  0  0
 1  0      0 59182780   1624 1145660    0    0     0     0 13301 157002 11  5 84  0  0  0
