procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 60122612    288 956652    0    0 13666  3699 12746   18 10  2 88  0  0  0
 0  0      0 60113036    288 957376    0    0   412     0 4664 3848  0  0 99  0  0  0
 3  0      0 59962960    288 1004476    0    0 30644     0 5803 9854  3  1 96  0  0  0
 2  0      0 59842332    288 1033736    0    0 26752     0 5527 14198  5  1 94  0  0  0
 0  0      0 59854024    288 1034032    0    0   280     0  932  936  0  0 100  0  0  0
46  0      0 59657088    288 1036632    0    0  2168     0 15530 126891 12  5 83  0  0  0
17  0      0 59696396    288 1036636    0    0     0     0 14890 157074 13  6 82  0  0  0
60  0      0 59649808    288 1036636    0    0     0     0 14236 159038 11  6 84  0  0  0
58  0      0 59716444    288 1038864    0    0  1800     0 14212 156392 11  5 84  0  0  0
 3  0      0 59724524    288 1041752    0    0  3092     0 15021 162642 11  6 83  0  0  0
21  0      0 59715100    288 1042604    0    0   468     0 14477 152598 11  5 83  0  0  0
54  0      0 59711400    288 1042608    0    0     0     0 13330 155835 11  5 83  0  0  0
17  0      0 59707040    292 1042604    0    0   164   136 13667 157920 11  5 84  0  0  0
61  0      0 59707244    292 1042928    0    0     0     0 13582 157567 11  6 84  0  0  0
49  0      0 59700580    292 1042928    0    0     0     0 13719 156177 11  6 84  0  0  0
74  0      0 59619288    296 1094104    0    0 38300   148 23403 164690 11  6 82  0  0  0
66  0      0 59124428   1616 1422588    0    0 289460   148 27402 155247 18  8 74  0  0  0
45  0      0 59042916   1616 1424320    0    0   448  2152 24605 169605 17  6 77  0  0  0
47  0      0 59032244   1616 1439344    0    0 10444  4788 26989 189829 15  6 78  1  0  0
 1  0      0 59028964   1616 1439344    0    0     0     0 14261 157029 10  6 84  0  0  0
37  0      0 59025660   1616 1439344    0    0     0     0 14311 157347 11  5 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
47  0      0 59028312   1616 1439344    0    0     0     0 14521 159922 11  6 84  0  0  0
46  0      0 59024720   1616 1439344    0    0     0     0 14422 159642 11  5 84  0  0  0
77  0      0 59027932   1616 1439344    0    0     0     0 13612 159807 11  5 84  0  0  0
80  0      0 59027020   1616 1439344    0    0     0     0 14527 165409 10  5 84  0  0  0
44  0      0 59023804   1616 1439344    0    0     0     0 13748 158808 10  5 84  0  0  0
20  0      0 59020596   1616 1439344    0    0     0     0 13997 158043 11  5 84  0  0  0
36  0      0 59020164   1616 1439344    0    0     0     0 13976 163455 11  5 84  0  0  0
19  0      0 59044700   1624 1453440    0    0  6096 21292 17658 174304 10  6 84  0  0  0
15  0      0 59042236   1624 1453440    0    0     0     0 13741 156948 11  5 84  0  0  0
78  0      0 59034032   1624 1453440    0    0     0     0 13645 157819 11  5 84  0  0  0
45  0      0 59026976   1624 1453440    0    0     0     0 14302 158164 11  5 84  0  0  0
 1  0      0 59024196   1624 1453440    0    0     0     0 14109 159300 11  5 84  0  0  0
35  0      0 59016016   1624 1453488    0    0     0     4 13810 156072 10  5 84  0  0  0
52  0      0 59012008   1624 1453504    0    0     0     0 14989 163079 10  6 84  0  0  0
46  0      0 59005316   1624 1453504    0    0     0     0 13743 157929 11  5 84  0  0  0
61  0      0 59000320   1624 1453504    0    0     0     0 14303 157500 11  5 84  0  0  0
35  0      0 58997460   1624 1453504    0    0     0     0 13507 157481 11  5 84  0  0  0
54  0      0 58992968   1624 1453504    0    0     0     0 13370 158761 10  5 84  0  0  0
54  0      0 58991096   1624 1453504    0    0     0     0 14307 160408 10  5 84  0  0  0
23  0      0 58986076   1624 1453504    0    0     0     0 13643 156989 11  5 84  0  0  0
55  0      0 58991240   1624 1453504    0    0     0     0 13265 152288 11  5 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
25  0      0 58982248   1624 1453508    0    0     0   272 13869 155320 11  5 84  0  0  0
68  0      0 58973984   1624 1453772    0    0     0   136 13640 155921 11  5 84  0  0  0
18  0      0 58958624   1624 1453788    0    0     0     4 14097 159186 10  5 84  0  0  0
65  0      0 58962768   1624 1453788    0    0     0     0 13596 157504 11  5 84  0  0  0
32  0      0 58966404   1624 1453932    0    0     0    72 13419 156258 10  5 84  0  0  0
58  0      0 58963552   1624 1454668    0    0   128  1752 13928 158335 11  5 84  0  0  0
41  0      0 58965380   1624 1454668    0    0     0     0 13426 157947 11  5 84  0  0  0
60  0      0 58964892   1624 1454668    0    0     0     0 13838 156829 11  5 84  0  0  0
39  0      0 58957276   1624 1454668    0    0     0   136 13865 156852 11  5 84  0  0  0
65  0      0 58953048   1624 1454764    0    0     0     0 13403 154485 10  5 84  0  0  0
 1  0      0 58952540   1624 1454764    0    0     0     0 13443 157595 11  5 84  0  0  0
77  0      0 58946240   1624 1454764    0    0     0     0 13450 157110 11  5 84  0  0  0
24  0      0 58939796   1624 1454764    0    0     0     0 13436 157858 11  5 84  0  0  0
49  0      0 58943352   1624 1454764    0    0     0     0 14612 161354 11  5 84  0  0  0
39  0      0 58935100   1624 1454764    0    0     0     0 14096 165978 10  6 84  0  0  0
 1  0      0 58933844   1624 1454764    0    0     0     0 13892 157437 10  6 84  0  0  0
20  0      0 58927316   1624 1460044    0    0  1216 10700 15135 161287 11  5 84  0  0  0
70  0      0 58919372   1624 1460044    0    0     0     0 13256 155907 11  5 84  0  0  0
48  0      0 58921572   1624 1460044    0    0     0     0 14214 157740 11  5 84  0  0  0
29  0      0 58917100   1624 1460044    0    0     0     0 13708 158013 11  5 84  0  0  0
71  0      0 58909804   1624 1460044    0    0     0     0 13857 154737 11  5 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
42  0      0 58907600   1624 1460044    0    0     0     0 13522 155978 10  5 84  0  0  0
52  0      0 58903728   1624 1460092    0    0     0     8 13764 157211 10  5 84  0  0  0
 1  0      0 58899760   1624 1460096    0    0     0     0 14251 156631 10  6 84  0  0  0
45  0      0 58892828   1624 1460096    0    0     0     0 14007 156907 11  6 84  0  0  0
58  0      0 58889476   1624 1460096    0    0     0     0 13322 156323 11  5 84  0  0  0
65  0      0 58895524   1624 1460096    0    0     0     0 13254 156388 10  5 84  0  0  0
47  0      0 58889188   1624 1460096    0    0     0     0 14823 158193 11  5 84  0  0  0
51  0      0 58886396   1624 1460096    0    0     0     0 13950 157440 11  5 84  0  0  0
52  0      0 58882824   1624 1460096    0    0     0     0 14026 158230 11  5 84  0  0  0
73  0      0 58882388   1624 1460096    0    0     0   136 13446 156316 11  5 84  0  0  0
63  0      0 58877788   1624 1460244    0    0     0     0 13409 156623 11  5 84  0  0  0
18  0      0 58874712   1624 1460244    0    0     0     0 13717 156864 11  5 84  0  0  0
73  0      0 58870980   1624 1460244    0    0     0     0 13824 158899 11  5 84  0  0  0
34  0      0 58868764   1624 1460244    0    0     0     0 14303 163000 10  5 84  0  0  0
47  0      0 58834376   1624 1480312    0    0 20332     0 18198 166577 11  5 84  0  0  0
76  0      0 58665712   1624 1614108    0    0 132316   136 42522 223645 12  8 80  1  0  0
56  1      0 58541516   1624 1723940    0    0 64272     0 22395 180602 13  8 78  1  0  0
