procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  1      0 59504632    288 976980    0    0 11721  3452 12797   21 10  2 88  0  0  0
 0  0      0 59510168    288 977700    0    0   360     0 5313 4413  0  0 99  0  0  0
 5  0      0 59345664    288 1025140    0    0 31284     0 7529 11330  3  1 96  0  0  0
 0  0      0 59220824    292 1055336    0    0 28128   144 6783 15637  5  1 94  0  0  0
 1  0      0 59221228    292 1056280    0    0   676     0 1427 1430  0  0 99  0  0  0
84  0      0 59028692    292 1058172    0    0  1504     0 25547 137912 13  6 82  0  0  0
57  0      0 59070676    292 1058176    0    0     0     0 16502 163244 13  6 82  0  0  0
55  0      0 59087644    292 1058176    0    0     0     0 13739 159607 11  5 84  0  0  0
44  2      0 59024360    292 1104072    0    0 23804     0 17445 165331 11  7 81  1  0  0
17  0      0 58926816    292 1185332    0    0 43292     0 17940 169013 11  6 82  1  0  0
44  0      0 58913744    292 1189116    0    0  3608     0 16425 154515 11  5 83  0  0  0
61  1      0 58911232    292 1189136    0    0    16     0 15078 159802 11  5 84  0  0  0
12  0      0 58899364    292 1190036    0    0   800     0 16652 164460 11  6 84  0  0  0
24  0      0 58892288    292 1190156    0    0    32   144 15120 159560 11  6 83  0  0  0
 1  0      0 58884596    292 1190156    0    0     0     0 14877 158827 11  5 84  0  0  0
59  0      0 58880816    292 1190156    0    0     0     0 15298 160071 11  5 84  0  0  0
63  0      0 58772168   1616 1259680    0    0 45308   312 31288 162323 16  7 76  1  0  0
75  1      0 58756360   1616 1270480    0    0  9560   784 21390 169199 14  5 80  0  0  0
64  0      0 58734956   1616 1276136    0    0   996  4584 31987 200200 15  6 78  1  0  0
32  0      0 58740716   1616 1276408    0    0     0   632 14273 159719 11  5 84  0  0  0
62  0      0 58737996   1616 1276408    0    0     0     0 14608 161937 10  5 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
34  0      0 58737336   1616 1276696    0    0   148   136 14341 157197 11  5 84  0  0  0
29  0      0 58743380   1616 1276696    0    0     0     0 14078 158594 10  6 84  0  0  0
36  0      0 58743512   1616 1276696    0    0     0     0 15147 167180 10  6 84  0  0  0
78  0      0 58745076   1616 1276696    0    0     0     0 14261 161680 11  6 84  0  0  0
55  0      0 58736504   1616 1276760    0    0     0   136 15273 158002 11  5 84  0  0  0
 1  0      0 58707316   1616 1276760    0    0     0     0 14106 156389 11  6 84  0  0  0
63  0      0 58695520   1616 1276760    0    0     0     0 14180 158853 11  6 84  0  0  0
70  1      0 58629972   1616 1332288    0    0 31104 113704 28739 190237 14  7 79  0  0  0
52  0      0 58450904   1624 1416556    0    0 37396 28132 21870 171060 12  7 80  1  0  0
45  0      0 58402728   1624 1416996    0    0     0     0 20386 169088 12  6 82  0  0  0
52  0      0 58315672   1624 1417568    0    0     0     0 18434 160175 12  6 82  0  0  0
34  0      0 58164320   1624 1417988    0    0     0     0 19097 159141 12  6 82  0  0  0
43  0      0 58416852   1624 1418344    0    0    12     4 16900 150147 12  6 83  0  0  0
69  0      0 58433372   1624 1418344    0    0     0     0 14324 161652 11  6 84  0  0  0
79  0      0 58431960   1624 1418344    0    0     0     0 14823 166311 11  5 84  0  0  0
63  0      0 58430824   1624 1418344    0    0     0     0 13845 164185 10  6 84  0  0  0
79  0      0 58430948   1624 1418344    0    0     0     0 13919 161100 11  6 84  0  0  0
 1  0      0 58448680   1624 1418344    0    0     0     0 14214 158921 10  6 84  0  0  0
74  0      0 58493324   1624 1418344    0    0     0     0 15293 160661 11  6 84  0  0  0
61  0      0 58493864   1624 1418344    0    0     0     0 14293 158391 11  5 84  0  0  0
63  0      0 58488728   1624 1418344    0    0     0     0 14102 159680 11  5 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
34  0      0 58483580   1624 1419036    0    0   556     0 15699 161328 11  6 84  0  0  0
24  1      0 58472496   1624 1419808    0    0   404     0 13838 156143 11  6 84  0  0  0
61  0      0 57671772   1624 1661988    0    0 136228   704 33353 176219 14 10 76  1  0  0
10  0      0 57712732   1624 1691896    0    0  5628     0 17709 161224 11  6 83  0  0  0
54  0      0 57300156   1624 1793256    0    0  7284  1536 20121 161901 11  6 82  0  0  0
 1  0      0 57129552   1624 1831776    0    0     0     0 14236 156785 11  6 84  0  0  0
64  0      0 57147872   1624 1831776    0    0     0     0 13866 159208 11  5 84  0  0  0
 1  0      0 56979260   1624 1870252    0    0     0     0 15668 161164 11  6 83  0  0  0
 1  0      0 57028892   1624 1870296    0    0     0     0 14776 159169 11  6 84  0  0  0
46  0      0 57069388   1624 1899064    0    0     0   408 15193 156349 11  6 83  0  0  0
45  0      0 57063664   1624 1899064    0    0     0     8 13215 157144 11  5 84  0  0  0
 1  0      0 57066032   1624 1899064    0    0     0     0 13604 155753 11  5 84  0  0  0
48  0      0 57033968   1624 1919272    0    0 14380     0 16212 157410 11  6 83  0  0  0
54  0      0 57052044   1624 1919272    0    0     0     0 15152 160390 11  6 83  0  0  0
13  0      0 57155248   1624 1880800    0    0    16   144 14450 159762 11  6 84  0  0  0
65  0      0 57181408   1624 1880800    0    0     0     0 14252 158750 11  5 84  0  0  0
57  0      0 57194092   1624 1880800    0    0     0     0 13770 157930 10  6 84  0  0  0
59  0      0 57226496   1624 1886432    0    0   640 15980 16253 164627 11  6 84  0  0  0
35  0      0 57232344   1624 1886464    0    0    32   380 14467 159617 11  5 84  0  0  0
 3  0      0 57232504   1624 1886464    0    0     0     0 14026 159400 11  5 84  0  0  0
47  0      0 57239508   1624 1886464    0    0     0     0 15163 159171 11  5 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
49  0      0 57879332   1624 1703640    0    0   140  1660 17201 161607 11  6 83  0  0  0
29  0      0 57879080   1624 1703644    0    0     0     8 14957 157553 11  5 84  0  0  0
52  0      0 57882964   1624 1703744    0    0    96  1476 16546 162027 11  6 83  0  0  0
 1  0      0 57880600   1624 1698880    0    0     0     0 15653 161283 11  6 84  0  0  0
31  0      0 57876336   1624 1698880    0    0     0     0 13591 159352 11  6 84  0  0  0
 2  0      0 57884464   1624 1699364    0    0    64  1032 13923 157866 11  6 83  0  0  0
31  0      0 57884596   1624 1699380    0    0    16    76 14369 153827 11  5 84  0  0  0
61  0      0 57882952   1624 1699380    0    0     0     0 13799 160442 11  6 84  0  0  0
54  0      0 57875044   1624 1699380    0    0     0     0 13105 157505 11  5 84  0  0  0
73  0      0 57875352   1624 1699380    0    0     0     0 13337 157826 11  5 84  0  0  0
 1  0      0 57875288   1624 1699380    0    0     0     0 13450 156956 11  6 84  0  0  0
75  0      0 57873504   1624 1699376    0    0     0   616 13916 157594 11  5 84  0  0  0
19  0      0 57867824   1624 1699392    0    0    16    20 13450 156815 11  6 84  0  0  0
28  0      0 57864260   1624 1699392    0    0     0     0 13203 157350 11  5 84  0  0  0
37  0      0 57857900   1624 1699392    0    0     0     0 13441 157255 11  5 84  0  0  0
66  0      0 57898532   1624 1698744    0    0     0   804 15168 160245 11  6 84  0  0  0
25  0      0 57892844   1624 1698744    0    0     0     0 13951 159244 11  5 84  0  0  0
18  0      0 57893508   1624 1698744    0    0     0     0 13923 157694 10  6 84  0  0  0
34  0      0 57888456   1624 1698748    0    0     0   136 14268 158881 11  5 84  0  0  0
60  0      0 57880072   1624 1698748    0    0     0     4 12998 156731 10  6 84  0  0  0
37  0      0 57881464   1624 1698748    0    0     0     0 13216 156990 11  5 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
69  0      0 57885296   1624 1698752    0    0     0     0 13286 157489 11  5 84  0  0  0
74  0      0 57886316   1624 1698752    0    0     0     0 13837 160474 11  5 84  0  0  0
51  0      0 57878152   1624 1698752    0    0     0     0 12862 157551 11  5 84  0  0  0
16  0      0 57877688   1624 1698752    0    0     0   136 13419 156956 11  5 84  0  0  0
47  0      0 57886564   1624 1698752    0    0     0     0 14365 159880 11  6 84  0  0  0
 1  0      0 57891220   1624 1698752    0    0     0  2048 13722 157261 11  5 84  0  0  0
57  0      0 57885280   1624 1698752    0    0     0     0 13239 158300 10  6 84  0  0  0
82  0      0 57871412   1624 1702176    0    0   656  7084 14373 160873 11  5 84  0  0  0
74  0      0 57865696   1624 1702176    0    0     0     0 13533 156995 10  5 84  0  0  0
 1  0      0 57861644   1624 1702176    0    0     0     0 13764 158997 11  5 84  0  0  0
83  0      0 57858624   1624 1702176    0    0     0     0 13568 158140 11  6 84  0  0  0
49  0      0 57860636   1624 1702176    0    0     0     8 13342 157270 11  5 84  0  0  0
60  0      0 57872132   1624 1702176    0    0     0     0 13192 157793 11  5 84  0  0  0
50  0      0 57879296   1624 1702176    0    0     0     0 13887 157394 10  5 84  0  0  0
 1  0      0 57875144   1624 1702176    0    0     0     0 13581 159225 11  5 84  0  0  0
52  0      0 57876624   1624 1702176    0    0     0     0 13240 156460 11  5 84  0  0  0
 1  0      0 57876108   1624 1702176    0    0     0     0 12718 157116 11  5 84  0  0  0
41  0      0 57878624   1624 1702176    0    0     0     0 13516 158030 11  5 84  0  0  0
43  0      0 57871860   1624 1702176    0    0     0     0 13224 159305 11  5 84  0  0  0
66  0      0 57881860   1624 1702176    0    0     0     0 13637 159293 11  5 84  0  0  0
67  0      0 57877200   1624 1702176    0    0     0     0 12976 156997 11  5 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
