procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  1      0 59544984    288 978824    0    0 11548  3418 12768   21 10  2 88  0  0  0
 0  0      0 59535740    288 979544    0    0   368     0 4190 3545  0  0 99  0  0  0
 2  0      0 59432628    288 1011176    0    0 18332     0 4286 7030  2  1 98  0  0  0
 1  0      0 59322184    288 1053464    0    0 37544     0 5340 15644  4  1 95  0  0  0
 0  0      0 59279832    288 1056720    0    0  3108     0 1865 3100  2  0 98  0  0  0
52  0      0 59071008    288 1059316    0    0  2140     0 9888 77947  8  3 89  0  0  0
45  0      0 59083012    288 1059320    0    0     0     0 16146 154051 13  5 82  0  0  0
 1  0      0 59065088    288 1059320    0    0     0     0 13190 160268 11  5 84  0  0  0
77  0      0 59108724    288 1063648    0    0  1656     0 14819 161346 11  6 83  0  0  0
70  0      0 59106376    288 1066972    0    0  3676     0 15418 158023 11  5 83  0  0  0
27  0      0 59093424    288 1067508    0    0     0     0 14134 152539 11  5 83  0  0  0
45  0      0 59085016    288 1067508    0    0     0     0 13942 156186 11  5 84  0  0  0
62  0      0 59078692    288 1067508    0    0     0     0 14201 156069 11  5 84  0  0  0
30  0      0 59072140    288 1067508    0    0     0     0 13767 156112 11  5 84  0  0  0
52  0      0 59064824    292 1067504    0    0   128   136 14044 157176 10  5 84  0  0  0
55  0      0 58907568    296 1133164    0    0 42840   312 24761 166269 12  6 81  1  0  0
60  0      0 58918772   1616 1139100    0    0  4292     0 21673 156886 15  6 79  0  0  0
 3  1      0 58902080   1616 1149924    0    0  9832  1796 23748 163930 16  6 78  1  0  0
67  0      0 58888668   1616 1153684    0    0   820  4208 27006 188418 14  6 80  1  0  0
41  0      0 58888688   1616 1153684    0    0     0     0 13850 157820 10  6 84  0  0  0
18  0      0 58889600   1616 1153684    0    0     0     0 13959 156441 10  5 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
60  0      0 58892448   1616 1153684    0    0     0     0 13968 155297 11  5 84  0  0  0
88  0      0 58888884   1616 1153684    0    0     0     0 14159 159095 11  5 84  0  0  0
29  0      0 58886800   1616 1153684    0    0     0     0 14379 157812 11  5 84  0  0  0
54  0      0 58881784   1616 1153684    0    0     0     0 13985 157252 10  5 84  0  0  0
69  0      0 58879320   1616 1153684    0    0     0     0 14346 156923 11  5 84  0  0  0
66  0      0 58879876   1616 1153900    0    0    20   408 15226 159030 10  5 84  0  0  0
61  0      0 58876844   1616 1153900    0    0     0     0 13975 157554 10  5 84  0  0  0
70  0      0 58871848   1616 1154780    0    0   512  5832 15570 162703 11  5 84  0  0  0
36  0      0 58865700   1624 1159452    0    0  1760  6572 14920 159416 11  5 84  0  0  0
50  0      0 58866672   1624 1159452    0    0     0     0 14124 158356 11  5 84  0  0  0
 1  0      0 58858364   1624 1159452    0    0     0     0 14283 157900 10  5 84  0  0  0
28  0      0 58858096   1624 1159452    0    0     0     0 13795 158030 10  5 84  0  0  0
85  0      0 58858236   1624 1159452    0    0     0     4 14083 156724 10  5 84  0  0  0
