procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  1      0 59494780    288 975680    0    0 12110  3536 12866   20 10  2 88  0  0  0
 0  0      0 59482352    288 976340    0    0   344     0 4758 3573  0  0 99  0  0  0
 4  0      0 59323364    288 1023976    0    0 31952     0 5930 9664  3  1 96  0  0  0
 0  0      0 59207564    288 1054124    0    0 27540     0 5629 14257  5  1 94  0  0  0
 3  0      0 59207884    288 1054876    0    0   676     0  825  916  0  0 100  0  0  0
26  0      0 59039884    288 1056704    0    0  1388     0 13969 136348 13  5 82  0  0  0
40  0      0 58998164    288 1056704    0    0     0     0 13764 156544 13  6 82  0  0  0
53  0      0 59025896    288 1056704    0    0     0     0 13069 157107 11  6 84  0  0  0
 4  0      0 59030408    292 1059176    0    0  1964   136 14147 160849 11  6 83  0  0  0
56  0      0 59023440    292 1062592    0    0  3408     0 14527 160620 11  6 83  0  0  0
55  0      0 59014460    292 1062992    0    0   208     0 14460 154979 12  5 83  0  0  0
71  0      0 59011144    292 1062992    0    0     0     0 13992 159895 11  5 83  0  0  0
11  0      0 59042916    292 1062992    0    0     0     0 13656 162523 11  5 84  0  0  0
33  0      0 59037480    292 1062992    0    0     0     0 13631 156985 11  6 84  0  0  0
69  0      0 59038216    292 1062992    0    0     0     0 13570 156539 11  5 84  0  0  0
27  2      0 58928880    296 1117216    0    0 33892   148 22206 164503 12  6 82  0  0  0
80  0      0 58942704   1616 1134372    0    0 13304   164 22084 156181 16  6 77  0  0  0
63  0      0 58919432   1616 1144784    0    0  9748  1100 21696 163972 15  6 79  0  0  0
49  0      0 58909432   1616 1147716    0    0   872  4272 30353 192914 16  6 78  1  0  0
29  0      0 58912364   1616 1148004    0    0    16   632 14419 159167 11  6 83  0  0  0
36  0      0 58913860   1616 1148004    0    0     0     0 13388 158339 11  6 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
45  0      0 58909048   1616 1148004    0    0     0     0 13235 156843 11  5 84  0  0  0
 1  0      0 58900532   1616 1148004    0    0     0     0 13628 159312 11  5 84  0  0  0
63  0      0 58903588   1616 1148004    0    0     0     0 13850 162282 11  5 84  0  0  0
83  0      0 58900204   1616 1148004    0    0     0     0 13514 155683 11  5 84  0  0  0
66  0      0 58896336   1616 1148004    0    0     0     0 13163 157180 11  5 84  0  0  0
50  0      0 58890876   1616 1148004    0    0     0     0 13775 160154 11  5 84  0  0  0
45  0      0 58891200   1616 1148004    0    0     0     0 13236 157626 11  5 84  0  0  0
 1  0      0 58875772   1624 1153156    0    0  2128 11568 15646 166547 11  6 84  0  0  0
49  0      0 58870028   1624 1153156    0    0     0     0 12967 139985 11  5 84  0  0  0
29  0      0 58870452   1624 1153156    0    0     0     0 14286 158416 11  5 84  0  0  0
35  0      0 58868000   1624 1153156    0    0     0     0 13516 158603 11  6 84  0  0  0
53  0      0 58861916   1624 1153156    0    0     0     0 13388 157406 11  5 84  0  0  0
 1  0      0 58860896   1624 1153172    0    0     0     4 13669 158921 11  5 84  0  0  0
39  0      0 58857384   1624 1153172    0    0     0     0 13759 159836 11  6 84  0  0  0
